mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-13 21:44:21,2,3
,T_0_Done,2023-09-13 21:44:26,2,3
,T_2_Busy,2023-09-13 21:44:44,5,3
,T_2_Done,2023-09-13 21:44:49,5,3
,T_2_ocupied,2023-09-13 21:44:49,5,3
,T_2_waiting,2023-09-13 21:44:49,5,3
,T_6_ocupied,2023-09-13 21:45:01,2,3
,T_6_waiting,2023-09-13 21:45:01,2,3
,T_1_ocupied,2023-09-13 21:45:05,3,3
,T_1_waiting,2023-09-13 21:45:05,3,3
,T_1_busy,2023-09-13 21:45:05,3,3
,T_2_busy,2023-09-13 21:45:05,5,3
,T_6_busy,2023-09-13 21:45:05,2,3
,T_1_done,2023-09-13 21:45:10,3,3
,T_2_done,2023-09-13 21:45:10,5,3
,T_6_done,2023-09-13 21:45:10,2,3
