mision, action, DateTime, org:resource
, T_0_Busy, 2023-09-08 23:56:51, 3
, T_0_Done, 2023-09-08 23:56:56, 3
, T_1_Busy, 2023-09-08 23:57:01, 0
, T_1_Done, 2023-09-08 23:57:06, 0
, T_2_ocupied, 2023-09-08 23:57:12, 4
, T_2_waiting, 2023-09-08 23:57:12, 4
, T_3_ocupied, 2023-09-08 23:58:17, 0
, T_3_waiting, 2023-09-08 23:58:17, 0
, T_2_busy, 2023-09-08 23:58:17, 4
, T_3_busy, 2023-09-08 23:58:17, 0
, T_2_done, 2023-09-08 23:58:21, 4
, T_3_done, 2023-09-08 23:58:21, 0
, T_4_Busy, 2023-09-08 23:58:45, 0
, T_4_Done, 2023-09-08 23:58:50, 0
, T_5_Busy, 2023-09-08 23:59:09, 2
, T_5_Done, 2023-09-08 23:59:14, 2
, T_0_ocupied, 2023-09-08 23:59:21, 4
, T_0_waiting, 2023-09-08 23:59:21, 4
, T_1_ocupied, 2023-09-08 23:59:21, 0
, T_1_waiting, 2023-09-08 23:59:21, 0
, T_0_busy, 2023-09-08 23:59:21, 4
, T_1_busy, 2023-09-08 23:59:21, 0
, T_0_done, 2023-09-08 23:59:26, 4
, T_1_done, 2023-09-08 23:59:26, 0
