mision, action, DateTime, org:resource, randomSeed 
mision 4,T_0_ocupied,2023-09-13 00:01:50,5,15
mision 4,T_0_waiting,2023-09-13 00:01:50,5,15
mision 4,T_1_ocupied,2023-09-13 00:01:53,1,15
mision 4,T_1_waiting,2023-09-13 00:01:53,1,15
mision 4,T_0_busy,2023-09-13 00:01:53,5,15
mision 4,T_1_busy,2023-09-13 00:01:53,1,15
mision 4,T_0_done,2023-09-13 00:01:58,5,15
mision 4,T_1_done,2023-09-13 00:01:58,1,15
mision 5,T_0_Busy,2023-09-13 00:02:57,3,79
mision 5,T_0_Done,2023-09-13 00:03:02,3,79
mision 5,T_1_Busy,2023-09-13 00:03:17,5,79
mision 5,T_1_Done,2023-09-13 00:03:22,5,79
mision 5,T_2_ocupied,2023-09-13 00:03:41,4,79
mision 5,T_2_waiting,2023-09-13 00:03:41,4,79
mision 5,T_3_ocupied,2023-09-13 00:03:55,2,79
mision 5,T_3_waiting,2023-09-13 00:03:55,2,79
mision 5,T_2_busy,2023-09-13 00:03:55,4,79
mision 5,T_3_busy,2023-09-13 00:03:55,2,79
mision 5,T_2_done,2023-09-13 00:04:00,4,79
mision 5,T_3_done,2023-09-13 00:04:00,2,79
mision 5,T_4_Busy,2023-09-13 00:04:50,2,79
mision 5,T_4_Done,2023-09-13 00:04:55,2,79
mision 5,T_5_Busy,2023-09-13 00:05:06,0,79
mision 5,T_5_Done,2023-09-13 00:05:11,0,79
mision 5,T_0_ocupied,2023-09-13 00:05:30,2,79
mision 5,T_0_waiting,2023-09-13 00:05:30,2,79
mision 5,T_1_ocupied,2023-09-13 00:06:07,4,79
mision 5,T_1_waiting,2023-09-13 00:06:07,4,79
mision 5,T_0_busy,2023-09-13 00:06:07,2,79
mision 5,T_1_busy,2023-09-13 00:06:07,4,79
mision 5,T_0_done,2023-09-13 00:06:12,2,79
mision 5,T_1_done,2023-09-13 00:06:12,4,79
mision 6,T_0_Busy,2023-09-13 00:02:21,5,67
mision 6,T_0_Done,2023-09-13 00:02:26,5,67
mision 6,T_1_Busy,2023-09-13 00:02:39,1,67
mision 6,T_1_Done,2023-09-13 00:02:44,1,67
mision 6,T_2_ocupied,2023-09-13 00:02:48,0,67
mision 6,T_2_waiting,2023-09-13 00:02:48,0,67
mision 6,T_3_ocupied,2023-09-13 00:03:16,2,67
mision 6,T_3_waiting,2023-09-13 00:03:16,2,67
mision 6,T_2_busy,2023-09-13 00:03:16,0,67
mision 6,T_3_busy,2023-09-13 00:03:16,2,67
mision 6,T_2_done,2023-09-13 00:03:21,0,67
mision 6,T_3_done,2023-09-13 00:03:21,2,67
mision 6,T_4_Busy,2023-09-13 00:04:56,3,67
mision 6,T_4_Done,2023-09-13 00:05:01,3,67
mision 6,T_5_Busy,2023-09-13 00:05:13,1,67
mision 6,T_5_Done,2023-09-13 00:05:18,1,67
mision 6,T_1_ocupied,2023-09-13 00:05:23,0,67
mision 6,T_1_waiting,2023-09-13 00:05:23,0,67
mision 6,T_0_ocupied,2023-09-13 00:05:36,1,67
mision 6,T_0_waiting,2023-09-13 00:05:36,1,67
mision 6,T_0_busy,2023-09-13 00:05:36,1,67
mision 6,T_1_busy,2023-09-13 00:05:36,0,67
mision 6,T_0_done,2023-09-13 00:05:41,1,67
mision 6,T_1_done,2023-09-13 00:05:41,0,67
mision 7,T_0_Busy,2023-09-13 00:00:45,2,22
mision 7,T_0_Done,2023-09-13 00:00:50,2,22
mision 7,T_1_Busy,2023-09-13 00:01:10,0,22
mision 7,T_1_Done,2023-09-13 00:01:15,0,22
mision 7,T_2_ocupied,2023-09-13 00:01:27,4,22
mision 7,T_2_waiting,2023-09-13 00:01:27,4,22
mision 7,T_3_ocupied,2023-09-13 00:02:10,3,22
mision 7,T_3_waiting,2023-09-13 00:02:10,3,22
mision 7,T_2_busy,2023-09-13 00:02:10,4,22
mision 7,T_3_busy,2023-09-13 00:02:10,3,22
mision 7,T_2_done,2023-09-13 00:02:15,4,22
mision 7,T_3_done,2023-09-13 00:02:15,3,22
mision 7,T_4_Busy,2023-09-13 00:02:48,4,22
mision 7,T_4_Done,2023-09-13 00:02:53,4,22
mision 7,T_5_Busy,2023-09-13 00:03:00,3,22
mision 7,T_5_Done,2023-09-13 00:03:05,3,22
mision 7,T_1_ocupied,2023-09-13 00:03:17,0,22
mision 7,T_1_waiting,2023-09-13 00:03:17,0,22
mision 7,T_0_ocupied,2023-09-13 00:03:21,3,22
mision 7,T_0_waiting,2023-09-13 00:03:21,3,22
