mision, action, DateTime, org:resource, randomSeed 
mision 4,T_21_rebooting,2023-09-16 17:24:52,8,50
mision 4,T_21_Busy,2023-09-16 17:25:39,15,50
mision 4,T_21_Done,2023-09-16 17:25:44,15,50
mision 4,T_22_Busy,2023-09-16 17:26:29,9,50
mision 4,T_22_Done,2023-09-16 17:26:34,9,50
mision 4,T_23_Busy,2023-09-16 17:27:42,10,50
mision 4,T_23_Done,2023-09-16 17:27:47,10,50
mision 4,T_25_ocupied,2023-09-16 17:28:13,4,50
mision 4,T_25_waiting,2023-09-16 17:28:13,4,50
mision 4,T_31_ocupied,2023-09-16 17:29:00,19,50
mision 4,T_31_waiting,2023-09-16 17:29:00,19,50
mision 4,T_26_ocupied,2023-09-16 17:29:17,1,50
mision 4,T_26_waiting,2023-09-16 17:29:17,1,50
mision 4,T_31_Busy,2023-09-16 17:29:17,19,50
mision 4,T_25_Busy,2023-09-16 17:29:17,4,50
mision 4,T_26_Busy,2023-09-16 17:29:17,1,50
mision 4,T_31_Done,2023-09-16 17:29:22,19,50
mision 4,T_25_Done,2023-09-16 17:29:22,4,50
mision 4,T_26_Done,2023-09-16 17:29:22,1,50
mision 5,T_21_Busy,2023-09-16 17:16:20,16,50
mision 5,T_21_rebooting,2023-09-16 17:16:29,16,50
mision 5,T_21_Busy,2023-09-16 17:18:49,9,50
mision 5,T_21_rebooting,2023-09-16 17:18:59,9,50
mision 5,T_21_Busy,2023-09-16 17:19:15,11,50
mision 5,T_21_rebooting,2023-09-16 17:19:24,11,50
mision 5,T_21_Busy,2023-09-16 17:20:23,0,50
mision 5,T_21_Done,2023-09-16 17:20:28,0,50
mision 5,T_22_Busy,2023-09-16 17:21:04,1,50
mision 5,T_22_Done,2023-09-16 17:21:09,1,50
mision 5,T_23_Busy,2023-09-16 17:21:49,5,50
mision 5,T_23_Done,2023-09-16 17:21:54,5,50
mision 5,T_26_ocupied,2023-09-16 17:22:25,5,50
mision 5,T_26_waiting,2023-09-16 17:22:25,5,50
mision 5,T_25_ocupied,2023-09-16 17:22:31,10,50
mision 5,T_25_waiting,2023-09-16 17:22:31,10,50
mision 5,T_31_ocupied,2023-09-16 17:22:47,3,50
mision 5,T_31_waiting,2023-09-16 17:22:47,3,50
mision 5,T_31_Busy,2023-09-16 17:22:47,3,50
mision 5,T_25_Busy,2023-09-16 17:22:47,10,50
mision 5,T_26_Busy,2023-09-16 17:22:47,5,50
mision 5,T_31_Done,2023-09-16 17:22:52,3,50
mision 5,T_25_Done,2023-09-16 17:22:52,10,50
mision 5,T_26_Done,2023-09-16 17:22:52,5,50
mision 6,T_21_Busy,2023-09-16 17:20:34,15,50
mision 6,T_21_rebooting,2023-09-16 17:20:43,15,50
mision 6,T_21_Busy,2023-09-16 17:21:35,4,50
mision 6,T_21_rebooting,2023-09-16 17:21:43,4,50
mision 6,T_21_Busy,2023-09-16 17:22:49,9,50
mision 6,T_21_rebooting,2023-09-16 17:22:58,9,50
mision 6,T_21_Busy,2023-09-16 17:23:23,12,50
mision 6,T_21_rebooting,2023-09-16 17:23:31,12,50
mision 6,T_21_Busy,2023-09-16 17:24:51,11,50
mision 6,T_21_rebooting,2023-09-16 17:24:59,11,50
mision 6,T_21_Busy,2023-09-16 17:26:37,18,50
mision 6,T_21_Done,2023-09-16 17:26:42,18,50
mision 6,T_22_Busy,2023-09-16 17:26:59,9,50
mision 6,T_22_Done,2023-09-16 17:27:04,9,50
mision 6,T_23_Busy,2023-09-16 17:28:09,13,50
mision 6,T_23_Done,2023-09-16 17:28:14,13,50
mision 6,T_31_ocupied,2023-09-16 17:29:33,1,50
mision 6,T_31_waiting,2023-09-16 17:29:33,1,50
mision 6,T_26_ocupied,2023-09-16 17:29:52,15,50
mision 6,T_26_waiting,2023-09-16 17:29:52,15,50
mision 6,T_25_ocupied,2023-09-16 17:31:54,14,50
mision 6,T_25_waiting,2023-09-16 17:31:54,14,50
mision 6,T_31_Busy,2023-09-16 17:31:54,1,50
mision 6,T_25_Busy,2023-09-16 17:31:54,14,50
mision 6,T_26_Busy,2023-09-16 17:31:54,15,50
mision 6,T_31_rebooting,2023-09-16 17:32:02,1,50
mision 6,T_25_rebooting,2023-09-16 17:32:02,14,50
mision 6,T_26_rebooting,2023-09-16 17:32:02,15,50
mision 6,T_31_ocupied,2023-09-16 17:32:10,1,50
mision 6,T_31_waiting,2023-09-16 17:32:10,1,50
mision 6,T_26_ocupied,2023-09-16 17:32:42,5,50
mision 6,T_26_waiting,2023-09-16 17:32:42,5,50
mision 6,T_25_ocupied,2023-09-16 17:32:55,18,50
mision 6,T_25_waiting,2023-09-16 17:32:55,18,50
mision 6,time_out,2023-09-16 17:36:22,user,50
mision 6,time_out,2023-09-16 17:36:22,user,50
mision 6,time_out,2023-09-16 17:36:23,user,50
mision 6,time_out,2023-09-16 17:36:23,user,50
mision 7,T_21_Busy,2023-09-16 17:21:19,19,50
mision 7,T_21_Done,2023-09-16 17:21:24,19,50
mision 7,T_22_Busy,2023-09-16 17:22:25,16,50
mision 7,T_22_Done,2023-09-16 17:22:30,16,50
mision 7,T_23_Busy,2023-09-16 17:23:06,9,50
mision 7,T_23_rebooting,2023-09-16 17:23:15,9,50
mision 7,T_23_Busy,2023-09-16 17:24:48,7,50
mision 7,T_23_rebooting,2023-09-16 17:24:57,7,50
mision 7,T_23_Busy,2023-09-16 17:25:27,15,50
mision 7,time_out,2023-09-16 17:37:06,user,50
mision 7,time_out,2023-09-16 17:37:06,user,50
mision 7,time_out,2023-09-16 17:37:07,user,50
mision 7,time_out,2023-09-16 17:37:07,user,50
mision 8,T_21_Busy,2023-09-16 17:15:43,17,50
mision 8,T_21_rebooting,2023-09-16 17:15:52,17,50
