mision, action, DateTime, org:resource, randomSeed 
,T_21_Busy,2023-09-15 23:59:55,16,13
,T_21_Done,2023-09-16 00:00:00,16,13
,T_22_Busy,2023-09-16 00:01:30,18,13
,T_22_Done,2023-09-16 00:01:35,18,13
,T_23_Busy,2023-09-16 00:02:55,12,13
,T_23_Done,2023-09-16 00:03:00,12,13
,T_25_ocupied,2023-09-16 00:03:05,10,13
,T_25_waiting,2023-09-16 00:03:05,10,13
,T_26_ocupied,2023-09-16 00:03:28,12,13
,T_26_waiting,2023-09-16 00:03:28,12,13
,T_31_ocupied,2023-09-16 00:04:55,7,13
,T_31_waiting,2023-09-16 00:04:55,7,13
,T_31_Busy,2023-09-16 00:15:18,10,13
,T_25_Busy,2023-09-16 00:15:18,18,13
,T_26_Busy,2023-09-16 00:15:18,12,13
,T_31_rebooting,2023-09-16 00:15:27,10,13
,T_25_rebooting,2023-09-16 00:15:27,18,13
,T_26_rebooting,2023-09-16 00:15:27,12,13
,T_31_ocupied,2023-09-16 00:15:33,10,13
,T_31_waiting,2023-09-16 00:15:33,10,13
,T_25_ocupied,2023-09-16 00:15:38,9,13
,T_25_waiting,2023-09-16 00:15:38,9,13
,time_out,2023-09-16 00:15:42,user,13
,time_out,2023-09-16 00:15:42,user,13
,time_out,2023-09-16 00:15:43,user,13
,time_out,2023-09-16 00:15:43,user,13
