case_id;activity;time
0;T3_enter;36
5;T8_enter;59
0;T3_task3;85
5;T8_task8;108
6;T4_enter;118
4;T7_enter;138
6;T4_task4;167
4;T7_task7;187
2;T1_enter;190
2;T1_task1;239
1;T6_enter;295
1;T6_task6;344
7;T5_enter;530
3;T2_enter;540
7;T5_task5;579
3;T2_task2;589
6;T1-T8_task9;601
