mision, action, DateTime, org:resource, randomSeed 
,T_5_Busy,2023-09-13 08:40:20,5,39
,T_5_Done,2023-09-13 08:40:24,5,39
,T_2_Busy,2023-09-13 08:40:38,0,39
,T_2_Done,2023-09-13 08:40:43,0,39
,T_2_ocupied,2023-09-13 08:40:43,0,39
,T_2_waiting,2023-09-13 08:40:43,0,39
,T_6_ocupied,2023-09-13 08:41:02,4,39
,T_6_waiting,2023-09-13 08:41:02,4,39
,T_1_ocupied,2023-09-13 08:41:07,5,39
,T_1_waiting,2023-09-13 08:41:07,5,39
,T_1_busy,2023-09-13 08:41:07,5,39
,T_2_busy,2023-09-13 08:41:07,0,39
,T_6_busy,2023-09-13 08:41:07,4,39
,T_1_done,2023-09-13 08:41:12,5,39
,T_2_done,2023-09-13 08:41:12,0,39
,T_6_done,2023-09-13 08:41:12,4,39
