mision, action, DateTime, org:resource, randomSeed 
,T_5_Busy,2023-09-13 08:39:47,5,15
,T_5_Done,2023-09-13 08:39:52,5,15
,T_2_Busy,2023-09-13 08:39:59,2,15
,T_2_Done,2023-09-13 08:40:04,2,15
,T_2_ocupied,2023-09-13 08:40:04,2,15
,T_2_waiting,2023-09-13 08:40:04,2,15
,T_1_ocupied,2023-09-13 08:40:13,3,15
,T_1_waiting,2023-09-13 08:40:13,3,15
,T_6_ocupied,2023-09-13 08:40:15,1,15
,T_6_waiting,2023-09-13 08:40:15,1,15
,T_1_busy,2023-09-13 08:40:15,3,15
,T_2_busy,2023-09-13 08:40:15,2,15
,T_6_busy,2023-09-13 08:40:15,1,15
,T_1_done,2023-09-13 08:40:20,3,15
,T_2_done,2023-09-13 08:40:20,2,15
,T_6_done,2023-09-13 08:40:20,1,15
