mision, action, DateTime, org:resource, randomSeed 
,T_21_Busy,2023-09-16 16:57:45,11,42
,T_21_rebooting,2023-09-16 16:57:53,11,42
,T_21_Busy,2023-09-16 16:58:16,5,42
,T_21_rebooting,2023-09-16 16:58:25,5,42
,T_21_Busy,2023-09-16 16:59:02,9,42
,T_21_rebooting,2023-09-16 16:59:10,9,42
,T_21_Busy,2023-09-16 17:00:50,11,42
,T_21_Done,2023-09-16 17:00:55,11,42
,T_22_Busy,2023-09-16 17:01:03,8,42
,T_22_Done,2023-09-16 17:01:08,8,42
,T_23_Busy,2023-09-16 17:01:48,11,42
,T_23_Done,2023-09-16 17:01:53,11,42
,T_31_ocupied,2023-09-16 17:02:12,14,42
,T_31_waiting,2023-09-16 17:02:12,14,42
,T_26_ocupied,2023-09-16 17:02:38,10,42
,T_26_waiting,2023-09-16 17:02:38,10,42
,T_25_ocupied,2023-09-16 17:05:12,3,42
,T_25_waiting,2023-09-16 17:05:12,3,42
,T_31_Busy,2023-09-16 17:05:12,14,42
,T_25_Busy,2023-09-16 17:05:12,3,42
,T_26_Busy,2023-09-16 17:05:12,10,42
,T_31_rebooting,2023-09-16 17:05:20,14,42
,T_25_rebooting,2023-09-16 17:05:20,3,42
,T_26_rebooting,2023-09-16 17:05:20,10,42
,T_31_ocupied,2023-09-16 17:05:29,14,42
,T_31_waiting,2023-09-16 17:05:29,14,42
,T_26_ocupied,2023-09-16 17:06:22,17,42
,T_26_waiting,2023-09-16 17:06:22,17,42
,T_25_ocupied,2023-09-16 17:07:49,16,42
,T_25_waiting,2023-09-16 17:07:49,16,42
,T_31_Busy,2023-09-16 17:07:49,14,42
,T_25_Busy,2023-09-16 17:07:49,16,42
,T_26_Busy,2023-09-16 17:07:49,17,42
,T_31_rebooting,2023-09-16 17:07:58,14,42
,T_25_rebooting,2023-09-16 17:07:58,16,42
,T_26_rebooting,2023-09-16 17:07:58,17,42
,T_31_ocupied,2023-09-16 17:08:07,14,42
,T_31_waiting,2023-09-16 17:08:07,14,42
,T_26_ocupied,2023-09-16 17:08:24,12,42
,T_26_waiting,2023-09-16 17:08:24,12,42
,T_25_ocupied,2023-09-16 17:10:16,6,42
,T_25_waiting,2023-09-16 17:10:16,6,42
,T_31_Busy,2023-09-16 17:10:16,14,42
,T_25_Busy,2023-09-16 17:10:16,6,42
,T_26_Busy,2023-09-16 17:10:16,12,42
,T_31_rebooting,2023-09-16 17:10:25,14,42
,T_25_rebooting,2023-09-16 17:10:25,6,42
,T_26_rebooting,2023-09-16 17:10:25,12,42
,T_31_ocupied,2023-09-16 17:10:28,14,42
,T_31_waiting,2023-09-16 17:10:28,14,42
,T_25_ocupied,2023-09-16 17:10:44,0,42
,T_25_waiting,2023-09-16 17:10:44,0,42
,T_26_ocupied,2023-09-16 17:11:11,12,42
,T_26_waiting,2023-09-16 17:11:11,12,42
,T_31_Busy,2023-09-16 17:11:11,14,42
,T_25_Busy,2023-09-16 17:11:11,0,42
,T_26_Busy,2023-09-16 17:11:11,12,42
,T_31_rebooting,2023-09-16 17:11:20,14,42
,T_25_rebooting,2023-09-16 17:11:20,0,42
,T_26_rebooting,2023-09-16 17:11:20,12,42
,T_31_ocupied,2023-09-16 17:11:22,14,42
,T_31_waiting,2023-09-16 17:11:22,14,42
,T_25_ocupied,2023-09-16 17:11:28,0,42
,T_25_waiting,2023-09-16 17:11:28,0,42
,time_out,2023-09-16 17:11:34,user,42
,time_out,2023-09-16 17:11:34,user,42
,time_out,2023-09-16 17:11:35,user,42
,time_out,2023-09-16 17:11:35,user,42
