mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-14 01:36:34,1,13
,T_0_rebooting,2023-09-14 01:36:42,1,13
,T_0_Busy,2023-09-14 01:36:58,3,13
,T_0_rebooting,2023-09-14 01:37:06,3,13
,T_0_Busy,2023-09-14 01:37:17,5,13
,T_0_rebooting,2023-09-14 01:37:29,5,13
,T_0_Busy,2023-09-14 01:37:33,3,13
,T_0_rebooting,2023-09-14 01:37:41,3,13
,T_0_Busy,2023-09-14 01:38:18,3,13
,T_0_rebooting,2023-09-14 01:38:25,3,13
,T_0_Busy,2023-09-14 01:38:44,1,13
,T_0_rebooting,2023-09-14 01:38:55,1,13
,T_0_Busy,2023-09-14 01:39:13,4,13
,T_0_rebooting,2023-09-14 01:39:21,4,13
,T_0_Busy,2023-09-14 01:39:44,5,13
,T_0_rebooting,2023-09-14 01:39:53,5,13
,T_0_Busy,2023-09-14 01:40:02,0,13
,T_0_rebooting,2023-09-14 01:40:10,0,13
,T_0_Busy,2023-09-14 01:40:19,0,13
,T_0_rebooting,2023-09-14 01:40:27,0,13
,T_0_Busy,2023-09-14 01:40:49,0,13
,T_0_rebooting,2023-09-14 01:41:01,0,13
,T_0_Busy,2023-09-14 01:41:17,4,13
,T_0_rebooting,2023-09-14 01:41:25,4,13
,T_0_Busy,2023-09-14 01:41:43,0,13
,T_0_rebooting,2023-09-14 01:41:51,0,13
,T_0_Busy,2023-09-14 01:41:59,1,13
,T_0_rebooting,2023-09-14 01:42:12,1,13
,T_0_Busy,2023-09-14 01:42:22,0,13
,T_0_rebooting,2023-09-14 01:42:34,0,13
,T_0_Busy,2023-09-14 01:42:45,5,13
