mision;activity;time;robot
mision 5;T_1done;2023-09-07 21:32:21;0
mision 6;T_0Busy;2023-09-07 21:27:50;5
mision 6;T_0Done;2023-09-07 21:27:55;5
mision 6;T_1Busy;2023-09-07 21:28:08;2
mision 6;T_1Done;2023-09-07 21:28:12;2
mision 6;T_2ocupied;2023-09-07 21:28:15;3
mision 6;T_2waiting;2023-09-07 21:28:15;3
mision 6;T_3ocupied;2023-09-07 21:28:23;0
mision 6;T_3waiting;2023-09-07 21:28:23;0
mision 6;T_2done;2023-09-07 21:28:28;0
mision 6;T_3done;2023-09-07 21:28:28;0
mision 6;T_4Busy;2023-09-07 21:28:42;2
mision 6;T_4Done;2023-09-07 21:28:46;2
mision 6;T_5Busy;2023-09-07 21:29:06;3
mision 6;T_5Done;2023-09-07 21:29:11;3
mision 6;T_1ocupied;2023-09-07 21:29:27;5
mision 6;T_1waiting;2023-09-07 21:29:27;5
mision 6;T_0ocupied;2023-09-07 21:29:35;1
mision 6;T_0waiting;2023-09-07 21:29:35;1
mision 6;T_0done;2023-09-07 21:29:40;0
mision 6;T_1done;2023-09-07 21:29:40;0
mision 7;T_0Busy;2023-09-07 22:11:21;2
mision 7;T_0Done;2023-09-07 22:11:26;2
mision 7;T_1Busy;2023-09-07 22:11:47;3
mision 7;T_1Done;2023-09-07 22:11:52;3
mision 7;T_3ocupied;2023-09-07 22:12:08;1
mision 7;T_3waiting;2023-09-07 22:12:08;1
mision 7;T_2ocupied;2023-09-07 22:12:17;3
mision 7;T_2waiting;2023-09-07 22:12:17;3
mision 7;T_2done;2023-09-07 22:12:22;0
mision 7;T_3done;2023-09-07 22:12:22;0
mision 7;T_4Busy;2023-09-07 22:12:53;5
mision 7;T_4Done;2023-09-07 22:12:58;5
mision 7;T_5Busy;2023-09-07 22:13:20;5
mision 7;T_5Done;2023-09-07 22:13:25;5
mision 7;T_1ocupied;2023-09-07 22:13:33;2
mision 7;T_1waiting;2023-09-07 22:13:33;2
mision 7;T_0ocupied;2023-09-07 22:13:40;3
mision 7;T_0waiting;2023-09-07 22:13:40;3
mision 7;T_0done;2023-09-07 22:13:45;0
mision 7;T_1done;2023-09-07 22:13:45;0
mision 8;T_0Busy;2023-09-07 22:11:21;5
mision 8;T_0Done;2023-09-07 22:11:25;5
mision 8;T_1Busy;2023-09-07 22:11:28;1
mision 8;T_1Done;2023-09-07 22:11:33;1
mision 8;T_2ocupied;2023-09-07 22:11:50;5
mision 8;T_2waiting;2023-09-07 22:11:50;5
mision 8;T_3ocupied;2023-09-07 22:11:59;1
mision 8;T_3waiting;2023-09-07 22:11:59;1
mision 8;T_2done;2023-09-07 22:12:04;0
mision 8;T_3done;2023-09-07 22:12:04;0
mision 8;T_4Busy;2023-09-07 22:12:41;3
mision 8;T_4Done;2023-09-07 22:12:46;3
mision 8;T_5Busy;2023-09-07 22:13:29;0
mision 8;T_5Done;2023-09-07 22:13:34;0
mision 8;T_0ocupied;2023-09-07 22:13:42;5
mision 8;T_0waiting;2023-09-07 22:13:42;5
mision 8;T_1ocupied;2023-09-07 22:13:47;2
mision 8;T_1waiting;2023-09-07 22:13:47;2
mision 8;T_0done;2023-09-07 22:13:52;0
mision 8;T_1done;2023-09-07 22:13:52;0
mision 9;T_0Busy;2023-09-07 21:27:49;0
mision 9;T_0Done;2023-09-07 21:27:54;0
mision 9;T_1Busy;2023-09-07 21:28:06;0
mision 9;T_1Done;2023-09-07 21:28:11;0
mision 9;T_2ocupied;2023-09-07 21:28:21;4
