case_id;activity;time;robot
mision33;TA_enter;2023-08-21 10:18:06;3
mision33;TA_task1;2023-08-21 10:18:11;3
mision33;TB_enter;2023-08-21 10:18:14;2
mision33;TB_task2;2023-08-21 10:18:19;2
mision33;TA_task3;2023-08-21 10:18:21;5
mision33;TB_task3;2023-08-21 10:18:21;5
mision33;TD_enter;2023-08-21 10:18:31;0
mision33;TD_task2;2023-08-21 10:18:36;0
mision33;TC_enter;2023-08-21 10:18:40;4
mision33;TC_task1;2023-08-21 10:18:45;4
mision33;TC_task3;2023-08-21 10:18:47;1
mision33;TD_task3;2023-08-21 10:18:47;1
mision33;TF_enter;2023-08-21 10:19:06;3
mision33;TF_task2;2023-08-21 10:19:11;3
mision33;TE_enter;2023-08-21 10:19:33;5
mision33;TE_task1;2023-08-21 10:19:38;5
mision33;TE_task3;2023-08-21 10:19:40;2
mision33;TF_task3;2023-08-21 10:19:40;2
mision33;TG_enter;2023-08-21 10:19:51;2
mision33;TG_task1;2023-08-21 10:19:56;2
mision33;TH_enter;2023-08-21 10:19:56;4
mision33;TH_task2;2023-08-21 10:20:01;4
mision33;TG_task3;2023-08-21 10:20:03;1
mision33;TH_task3;2023-08-21 10:20:03;1
mision33;TG_task4;2023-08-21 10:20:03;4
mision33;TH_task4;2023-08-21 10:20:03;4
