case_id;activity;time;robot
mision35;TA_enter;2023-08-21 10:18:14;2
mision35;TA_task1;2023-08-21 10:18:19;2
mision35;TB_enter;2023-08-21 10:18:21;3
mision35;TB_task2;2023-08-21 10:18:26;3
mision35;TA_task3;2023-08-21 10:18:28;0
mision35;TB_task3;2023-08-21 10:18:28;0
mision35;TC_enter;2023-08-21 10:18:54;4
mision35;TC_task1;2023-08-21 10:18:59;4
mision35;TD_enter;2023-08-21 10:19:37;5
mision35;TD_task2;2023-08-21 10:19:42;5
mision35;TC_task3;2023-08-21 10:19:44;2
mision35;TD_task3;2023-08-21 10:19:44;2
mision35;TF_enter;2023-08-21 10:20:04;3
mision35;TF_task2;2023-08-21 10:20:09;3
mision35;TE_enter;2023-08-21 10:21:12;1
mision35;TE_task1;2023-08-21 10:21:17;1
mision35;TE_task3;2023-08-21 10:21:18;4
mision35;TF_task3;2023-08-21 10:21:18;4
mision35;TG_enter;2023-08-21 10:21:30;0
mision35;TH_enter;2023-08-21 10:21:34;4
mision35;TG_task1;2023-08-21 10:21:35;0
mision35;TH_task2;2023-08-21 10:21:39;4
mision35;TG_task3;2023-08-21 10:21:40;1
mision35;TH_task3;2023-08-21 10:21:40;1
mision35;TG_task4;2023-08-21 10:21:40;4
mision35;TH_task4;2023-08-21 10:21:40;4
