case_id;activity;time;robot
mision44;TB_enter;2023-08-21 10:18:23;1
mision44;TB_task2;2023-08-21 10:18:28;1
mision44;TA_enter;2023-08-21 10:18:34;2
mision44;TA_task1;2023-08-21 10:18:39;2
mision44;TA_task3;2023-08-21 10:18:40;5
mision44;TB_task3;2023-08-21 10:18:40;5
mision44;TC_enter;2023-08-21 10:18:49;3
mision44;TC_task1;2023-08-21 10:18:54;3
mision44;TD_enter;2023-08-21 10:20:01;0
mision44;TD_task2;2023-08-21 10:20:06;0
mision44;TC_task3;2023-08-21 10:20:08;3
mision44;TD_task3;2023-08-21 10:20:08;3
mision44;TF_enter;2023-08-21 10:20:18;5
mision44;TF_task2;2023-08-21 10:20:23;5
mision44;TE_enter;2023-08-21 10:20:29;1
mision44;TE_task1;2023-08-21 10:20:34;1
mision44;TE_task3;2023-08-21 10:20:36;4
mision44;TF_task3;2023-08-21 10:20:36;4
mision44;TG_enter;2023-08-21 10:20:53;3
mision44;TG_task1;2023-08-21 10:20:57;3
mision44;TH_enter;2023-08-21 10:20:58;0
mision44;TH_task2;2023-08-21 10:21:03;0
mision44;TG_task3;2023-08-21 10:21:04;3
mision44;TH_task3;2023-08-21 10:21:04;3
mision44;TG_task4;2023-08-21 10:21:05;0
mision44;TH_task4;2023-08-21 10:21:05;0
