case_id;activity;time;robot
mision52;TA_enter;2023-08-21 10:17:11;0
mision52;TA_task1;2023-08-21 10:17:16;0
mision52;TB_enter;2023-08-21 10:17:17;2
mision52;TB_task2;2023-08-21 10:17:22;2
mision52;TA_task3;2023-08-21 10:17:24;5
mision52;TB_task3;2023-08-21 10:17:24;5
mision52;TC_enter;2023-08-21 10:17:39;1
mision52;TC_task1;2023-08-21 10:17:44;1
mision52;TD_enter;2023-08-21 10:17:57;5
mision52;TD_task2;2023-08-21 10:18:02;5
mision52;TC_task3;2023-08-21 10:18:04;2
mision52;TD_task3;2023-08-21 10:18:04;2
mision52;TF_enter;2023-08-21 10:18:19;2
mision52;TE_enter;2023-08-21 10:18:24;0
mision52;TF_task2;2023-08-21 10:18:24;2
mision52;TE_task1;2023-08-21 10:18:29;0
mision52;TE_task3;2023-08-21 10:18:30;3
mision52;TF_task3;2023-08-21 10:18:30;3
mision52;TH_enter;2023-08-21 10:18:46;1
mision52;TG_enter;2023-08-21 10:18:46;5
mision52;TH_task2;2023-08-21 10:18:51;1
mision52;TG_task1;2023-08-21 10:18:51;5
mision52;TG_task3;2023-08-21 10:18:53;2
mision52;TH_task3;2023-08-21 10:18:53;2
mision52;TG_task4;2023-08-21 10:18:53;5
mision52;TH_task4;2023-08-21 10:18:53;5
