case_id;activity;time;robot
mision6;TB_enter;2023-08-21 10:18:18;1
mision6;TA_enter;2023-08-21 10:18:19;4
mision6;TB_task2;2023-08-21 10:18:23;1
mision6;TA_task1;2023-08-21 10:18:24;4
mision6;TA_task3;2023-08-21 10:18:26;1
mision6;TB_task3;2023-08-21 10:18:26;1
mision6;TC_enter;2023-08-21 10:18:49;5
mision6;TC_task1;2023-08-21 10:18:54;5
mision6;TD_enter;2023-08-21 10:18:56;2
mision6;TD_task2;2023-08-21 10:19:01;2
mision6;TC_task3;2023-08-21 10:19:02;5
mision6;TD_task3;2023-08-21 10:19:02;5
mision6;TF_enter;2023-08-21 10:19:09;3
mision6;TF_task2;2023-08-21 10:19:14;3
mision6;TE_enter;2023-08-21 10:19:21;1
mision6;TE_task1;2023-08-21 10:19:26;1
mision6;TE_task3;2023-08-21 10:19:28;4
mision6;TF_task3;2023-08-21 10:19:28;4
mision6;TG_enter;2023-08-21 10:19:36;4
mision6;TG_task1;2023-08-21 10:19:40;4
mision6;TH_enter;2023-08-21 10:19:41;0
mision6;TH_task2;2023-08-21 10:19:46;0
mision6;TG_task3;2023-08-21 10:19:48;3
mision6;TH_task3;2023-08-21 10:19:48;3
mision6;TG_task4;2023-08-21 10:19:48;0
mision6;TH_task4;2023-08-21 10:19:48;0
