mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-14 01:34:32,3,6
,T_0_Done,2023-09-14 01:34:37,3,6
,T_2_Busy,2023-09-14 01:34:45,4,6
,T_2_Done,2023-09-14 01:34:50,4,6
,T_4_Busy,2023-09-14 01:35:53,1,6
,T_4_Done,2023-09-14 01:35:58,1,6
,T_6_ocupied,2023-09-14 01:36:05,5,6
,T_6_waiting,2023-09-14 01:36:05,5,6
,T_1_ocupied,2023-09-14 01:36:08,2,6
,T_1_waiting,2023-09-14 01:36:08,2,6
,T_2_ocupied,2023-09-14 01:37:01,3,6
,T_2_waiting,2023-09-14 01:37:01,3,6
,T_1_Busy,2023-09-14 01:37:01,2,6
,T_2_Busy,2023-09-14 01:37:01,3,6
,T_6_Busy,2023-09-14 01:37:01,5,6
,T_1_done,2023-09-14 01:37:06,2,6
,T_2_done,2023-09-14 01:37:06,3,6
,T_6_done,2023-09-14 01:37:06,5,6
