mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-13 21:31:11,3,1
,T_0_Done,2023-09-13 21:31:16,3,1
,T_2_Busy,2023-09-13 21:31:28,0,1
,T_2_Done,2023-09-13 21:31:33,0,1
,T_2_ocupied,2023-09-13 21:31:33,0,1
,T_2_waiting,2023-09-13 21:31:33,0,1
,T_6_ocupied,2023-09-13 21:31:48,2,1
,T_6_waiting,2023-09-13 21:31:48,2,1
,T_1_ocupied,2023-09-13 21:31:54,3,1
,T_1_waiting,2023-09-13 21:31:54,3,1
,T_1_busy,2023-09-13 21:31:54,3,1
,T_2_busy,2023-09-13 21:31:54,0,1
,T_6_busy,2023-09-13 21:31:54,2,1
,T_1_done,2023-09-13 21:31:59,3,1
,T_2_done,2023-09-13 21:31:59,0,1
,T_6_done,2023-09-13 21:31:59,2,1
