mision, action, DateTime, org:resource, randomSeed 
,T_21_Busy,2023-09-15 23:10:22,16,33
,T_21_Done,2023-09-15 23:10:27,16,33
,T_22_Busy,2023-09-15 23:11:35,16,33
,T_22_Done,2023-09-15 23:11:40,16,33
,T_23_Busy,2023-09-15 23:11:54,3,33
,T_23_Done,2023-09-15 23:11:59,3,33
,T_25_ocupied,2023-09-15 23:12:26,13,33
,T_25_waiting,2023-09-15 23:12:26,13,33
,T_26_ocupied,2023-09-15 23:14:24,3,33
,T_26_waiting,2023-09-15 23:14:24,3,33
,T_31_ocupied,2023-09-15 23:15:23,15,33
,T_31_waiting,2023-09-15 23:15:23,15,33
,T_31_Busy,2023-09-15 23:15:23,15,33
,T_25_Busy,2023-09-15 23:15:23,13,33
,T_26_Busy,2023-09-15 23:15:23,3,33
,time_out,2023-09-15 23:24:59,user,33
,time_out,2023-09-15 23:24:59,user,33
,time_out,2023-09-15 23:25:00,user,33
,time_out,2023-09-15 23:25:00,user,33
