mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-13 00:00:53,3,23
,T_0_Done,2023-09-13 00:00:58,3,23
,T_1_Busy,2023-09-13 00:01:31,4,23
,T_1_Done,2023-09-13 00:01:36,4,23
,T_2_ocupied,2023-09-13 00:01:52,5,23
,T_2_waiting,2023-09-13 00:01:52,5,23
,T_3_ocupied,2023-09-13 00:03:36,4,23
,T_3_waiting,2023-09-13 00:03:36,4,23
,T_2_busy,2023-09-13 00:03:36,5,23
,T_3_busy,2023-09-13 00:03:36,4,23
,T_2_done,2023-09-13 00:03:41,5,23
,T_3_done,2023-09-13 00:03:41,4,23
,T_4_Busy,2023-09-13 00:04:47,4,23
,T_4_Done,2023-09-13 00:04:52,4,23
,T_5_Busy,2023-09-13 00:05:24,0,23
,T_5_Done,2023-09-13 00:05:28,0,23
,T_1_ocupied,2023-09-13 00:05:42,2,23
,T_1_waiting,2023-09-13 00:05:42,2,23
,T_0_ocupied,2023-09-13 00:05:56,3,23
,T_0_waiting,2023-09-13 00:05:56,3,23
,T_0_busy,2023-09-13 00:05:56,3,23
,T_1_busy,2023-09-13 00:05:56,2,23
,T_0_done,2023-09-13 00:06:01,3,23
,T_1_done,2023-09-13 00:06:01,2,23
