mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-14 00:50:50,3,2
,T_0_Done,2023-09-14 00:50:55,3,2
,T_2_Busy,2023-09-14 00:51:19,1,2
,T_2_Done,2023-09-14 00:51:24,1,2
,T_2_ocupied,2023-09-14 00:51:24,1,2
,T_2_waiting,2023-09-14 00:51:24,1,2
,T_6_ocupied,2023-09-14 00:51:31,0,2
,T_6_waiting,2023-09-14 00:51:31,0,2
,T_1_ocupied,2023-09-14 00:51:48,5,2
,T_1_waiting,2023-09-14 00:51:48,5,2
,T_1_Busy,2023-09-14 00:51:48,5,2
,T_2_Busy,2023-09-14 00:51:48,1,2
,T_6_Busy,2023-09-14 00:51:48,0,2
,T_1_done,2023-09-14 00:51:53,5,2
,T_2_done,2023-09-14 00:51:53,1,2
,T_6_done,2023-09-14 00:51:53,0,2
