mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-14 14:04:13,1,59
,T_0_Done,2023-09-14 14:04:18,1,59
,T_2_Busy,2023-09-14 14:04:56,1,59
,T_2_Done,2023-09-14 14:05:01,1,59
,T_3_Busy,2023-09-14 14:05:22,3,59
,T_3_Done,2023-09-14 14:05:27,3,59
,T_1_ocupied,2023-09-14 14:05:41,0,59
,T_1_waiting,2023-09-14 14:05:41,0,59
,T_6_ocupied,2023-09-14 14:05:43,3,59
,T_6_waiting,2023-09-14 14:05:43,3,59
,T_5_ocupied,2023-09-14 14:05:48,2,59
,T_5_waiting,2023-09-14 14:05:48,2,59
,T_1_Busy,2023-09-14 14:05:48,0,59
,T_5_Busy,2023-09-14 14:05:48,2,59
,T_6_Busy,2023-09-14 14:05:48,3,59
,T_1_Done,2023-09-14 14:05:52,0,59
,T_5_Done,2023-09-14 14:05:52,2,59
,T_6_Done,2023-09-14 14:05:52,3,59
