mision;activity;time;robot
mision 14;TB_task2;2023-08-25 15:33:35;2
mision 14;TA_task3;2023-08-25 15:33:37;5
mision 14;TB_task3;2023-08-25 15:33:37;5
mision 14;TD_enter;2023-08-25 15:33:47;0
mision 14;TD_task2;2023-08-25 15:33:52;0
mision 14;TC_enter;2023-08-25 15:33:56;4
mision 14;TC_task1;2023-08-25 15:34:01;4
mision 14;TC_task3;2023-08-25 15:34:03;1
mision 14;TD_task3;2023-08-25 15:34:03;1
mision 14;TF_enter;2023-08-25 15:34:22;3
mision 14;TF_task2;2023-08-25 15:34:27;3
mision 14;TE_enter;2023-08-25 15:34:50;5
mision 14;TE_task1;2023-08-25 15:34:55;5
mision 14;TE_task3;2023-08-25 15:34:57;2
mision 14;TF_task3;2023-08-25 15:34:57;2
mision 14;TG_enter;2023-08-25 15:35:08;2
mision 14;TG_task1;2023-08-25 15:35:13;2
mision 14;TH_enter;2023-08-25 15:35:13;4
mision 14;TH_task2;2023-08-25 15:35:18;4
mision 14;TG_task3;2023-08-25 15:35:20;1
mision 14;TH_task3;2023-08-25 15:35:20;1
mision 14;TG_task4;2023-08-25 15:35:20;4
mision 14;TH_task4;2023-08-25 15:35:20;4
mision 15;TA_enter;2023-08-25 15:33:12;1
mision 15;TB_enter;2023-08-25 15:33:12;3
mision 15;TA_task1;2023-08-25 15:33:17;1
mision 15;TB_task2;2023-08-25 15:33:17;3
mision 15;TA_task3;2023-08-25 15:33:19;0
mision 15;TB_task3;2023-08-25 15:33:19;0
mision 15;TD_enter;2023-08-25 15:33:36;5
mision 15;TC_enter;2023-08-25 15:33:38;0
mision 15;TD_task2;2023-08-25 15:33:41;5
mision 15;TC_task1;2023-08-25 15:33:43;0
mision 15;TC_task3;2023-08-25 15:33:45;3
mision 15;TD_task3;2023-08-25 15:33:45;3
mision 15;TF_enter;2023-08-25 15:33:53;2
mision 15;TF_task2;2023-08-25 15:33:58;2
mision 15;TE_enter;2023-08-25 15:35:47;4
mision 15;TE_task1;2023-08-25 15:35:52;4
mision 15;TE_task3;2023-08-25 15:35:54;1
mision 15;TF_task3;2023-08-25 15:35:54;1
mision 15;TG_enter;2023-08-25 15:36:12;5
mision 15;TG_task1;2023-08-25 15:36:18;5
mision 15;TH_enter;2023-08-25 15:36:20;3
mision 15;TH_task2;2023-08-25 15:36:25;3
mision 15;TG_task3;2023-08-25 15:36:27;0
mision 15;TH_task3;2023-08-25 15:36:27;0
mision 15;TG_task4;2023-08-25 15:36:27;3
mision 15;TH_task4;2023-08-25 15:36:27;3
mision 16;TB_enter;2023-08-25 15:33:39;5
mision 16;TB_task2;2023-08-25 15:33:44;5
mision 16;TA_enter;2023-08-25 15:33:49;2
mision 16;TA_task1;2023-08-25 15:33:54;2
mision 16;TA_task3;2023-08-25 15:33:55;5
mision 16;TB_task3;2023-08-25 15:33:55;5
mision 16;TC_enter;2023-08-25 15:34:17;4
mision 16;TC_task1;2023-08-25 15:34:22;4
mision 16;TD_enter;2023-08-25 15:36:27;1
mision 16;TD_task2;2023-08-25 15:36:32;1
mision 16;TC_task3;2023-08-25 15:36:34;4
mision 16;TD_task3;2023-08-25 15:36:34;4
mision 16;TF_enter;2023-08-25 15:36:42;0
mision 16;TF_task2;2023-08-25 15:36:47;0
mision 16;TE_enter;2023-08-25 15:37:02;3
mision 16;TE_task1;2023-08-25 15:37:07;3
mision 16;TE_task3;2023-08-25 15:37:09;0
mision 16;TF_task3;2023-08-25 15:37:09;0
mision 16;TG_enter;2023-08-25 15:37:25;1
mision 16;TG_task1;2023-08-25 15:37:30;1
mision 16;TH_enter;2023-08-25 15:38:16;2
mision 16;TH_task2;2023-08-25 15:38:22;2
mision 16;TG_task3;2023-08-25 15:38:24;5
mision 16;TH_task3;2023-08-25 15:38:24;5
mision 16;TG_task4;2023-08-25 15:38:24;2
mision 16;TH_task4;2023-08-25 15:38:24;2
mision 17;TB_enter;2023-08-25 15:32:27;3
mision 17;TB_task2;2023-08-25 15:32:31;3
mision 17;TA_enter;2023-08-25 15:32:36;1
mision 17;TA_task1;2023-08-25 15:32:41;1
mision 17;TA_task3;2023-08-25 15:32:42;4
mision 17;TB_task3;2023-08-25 15:32:42;4
mision 17;TC_enter;2023-08-25 15:33:00;5
mision 17;TC_task1;2023-08-25 15:33:05;5
mision 17;TD_enter;2023-08-25 15:33:07;0
mision 17;TD_task2;2023-08-25 15:33:12;0
mision 17;TC_task3;2023-08-25 15:33:14;3
mision 17;TD_task3;2023-08-25 15:33:14;3
mision 17;TF_enter;2023-08-25 15:33:22;2
mision 17;TF_task2;2023-08-25 15:33:27;2
mision 17;TE_enter;2023-08-25 15:34:57;3
mision 17;TE_task1;2023-08-25 15:35:01;3
mision 17;TE_task3;2023-08-25 15:35:03;0
mision 17;TF_task3;2023-08-25 15:35:03;0
mision 17;TH_enter;2023-08-25 15:35:19;0
mision 17;TH_task2;2023-08-25 15:35:23;0
mision 17;TG_enter;2023-08-25 15:35:24;5
mision 17;TG_task1;2023-08-25 15:35:29;5
mision 17;TG_task3;2023-08-25 15:35:31;2
mision 17;TH_task3;2023-08-25 15:35:31;2
mision 17;TG_task4;2023-08-25 15:35:31;5
mision 17;TH_task4;2023-08-25 15:35:31;5
mision 18;TB_enter;2023-08-25 15:32:14;5
mision 18;TB_task2;2023-08-25 15:32:19;5
mision 18;TA_enter;2023-08-25 15:32:22;0
mision 18;TA_task1;2023-08-25 15:32:27;0
mision 18;TA_task3;2023-08-25 15:32:28;3
mision 18;TB_task3;2023-08-25 15:32:28;3
mision 18;TC_enter;2023-08-25 15:32:37;4
mision 18;TC_task1;2023-08-25 15:32:42;4
mision 18;TD_enter;2023-08-25 15:34:10;1
mision 18;TD_task2;2023-08-25 15:34:15;1
mision 18;TC_task3;2023-08-25 15:34:16;4
mision 18;TD_task3;2023-08-25 15:34:16;4
mision 18;TF_enter;2023-08-25 15:34:41;3
mision 18;TF_task2;2023-08-25 15:34:46;3
mision 18;TE_enter;2023-08-25 15:36:16;5
mision 18;TE_task1;2023-08-25 15:36:21;5
mision 18;TE_task3;2023-08-25 15:36:23;2
mision 18;TF_task3;2023-08-25 15:36:23;2
mision 18;TG_enter;2023-08-25 15:36:33;2
mision 18;TG_task1;2023-08-25 15:36:38;2
mision 18;TH_enter;2023-08-25 15:36:51;4
mision 18;TH_task2;2023-08-25 15:36:57;4
mision 18;TG_task3;2023-08-25 15:36:59;1
mision 18;TH_task3;2023-08-25 15:36:59;1
mision 18;TG_task4;2023-08-25 15:36:59;4
