mision, action, DateTime, org:resource
, T_0_Busy, 2023-09-08 09:55:27, 4
, T_0_Done, 2023-09-08 09:55:32, 4
, T_1_Busy, 2023-09-08 09:55:36, 3
, T_1_Done, 2023-09-08 09:55:41, 3
, T_2_ocupied, 2023-09-08 09:55:58, 3
, T_2_waiting, 2023-09-08 09:55:58, 3
, T_3_ocupied, 2023-09-08 09:56:02, 4
, T_3_waiting, 2023-09-08 09:56:02, 4
, T_2_done, 2023-09-08 09:56:07, 0
, T_3_done, 2023-09-08 09:56:07, 0
, T_4_Busy, 2023-09-08 09:56:18, 0
, T_4_Done, 2023-09-08 09:56:23, 0
, T_5_Busy, 2023-09-08 09:56:47, 0
, T_5_Done, 2023-09-08 09:56:52, 0
, T_1_ocupied, 2023-09-08 09:57:01, 3
, T_1_waiting, 2023-09-08 09:57:01, 3
, T_0_ocupied, 2023-09-08 09:57:08, 0
, T_0_waiting, 2023-09-08 09:57:08, 0
, T_0_done, 2023-09-08 09:57:12, 0
, T_1_done, 2023-09-08 09:57:12, 0
