mision, action, DateTime, org:resource
, T_0Busy, 2023-09-08 09:36:14, 4
, T_0Done, 2023-09-08 09:36:19, 4
, T_1Busy, 2023-09-08 09:36:23, 3
, T_1Done, 2023-09-08 09:36:28, 3
, T_2ocupied, 2023-09-08 09:36:45, 3
, T_2waiting, 2023-09-08 09:36:45, 3
, T_3ocupied, 2023-09-08 09:36:49, 4
, T_3waiting, 2023-09-08 09:36:49, 4
, T_2done, 2023-09-08 09:36:54, 0
, T_3done, 2023-09-08 09:36:54, 0
, T_4Busy, 2023-09-08 09:37:05, 0
, T_4Done, 2023-09-08 09:37:10, 0
, T_5Busy, 2023-09-08 09:37:34, 0
, T_5Done, 2023-09-08 09:37:39, 0
, T_1ocupied, 2023-09-08 09:37:48, 3
, T_1waiting, 2023-09-08 09:37:48, 3
, T_0ocupied, 2023-09-08 09:37:55, 0
, T_0waiting, 2023-09-08 09:37:55, 0
, T_0done, 2023-09-08 09:37:59, 0
, T_1done, 2023-09-08 09:37:59, 0
