mision;activity;time;robot
;T_0Busy;2023-09-07 21:27:38;4
;T_0Done;2023-09-07 21:27:43;4
;T_1Busy;2023-09-07 21:27:45;2
;T_1Done;2023-09-07 21:27:50;2
;T_3ocupied;2023-09-07 21:28:04;1
;T_3waiting;2023-09-07 21:28:04;1
;T_2ocupied;2023-09-07 21:28:09;5
;T_2waiting;2023-09-07 21:28:09;5
;T_2done;2023-09-07 21:28:13;0
;T_3done;2023-09-07 21:28:13;0
;T_4Busy;2023-09-07 21:28:52;5
;T_4Done;2023-09-07 21:28:57;5
;T_5Busy;2023-09-07 21:29:19;5
;T_5Done;2023-09-07 21:29:24;5
;T_0ocupied;2023-09-07 21:29:31;0
;T_0waiting;2023-09-07 21:29:31;0
;T_1ocupied;2023-09-07 21:29:37;3
;T_1waiting;2023-09-07 21:29:37;3
;T_0done;2023-09-07 21:29:42;0
;T_1done;2023-09-07 21:29:42;0
