mision;activity;time;robot
;T_0Busy;2023-09-07 21:28:05;2
;T_0Done;2023-09-07 21:28:10;2
;T_1Busy;2023-09-07 21:28:34;2
;T_1Done;2023-09-07 21:28:39;2
;T_3ocupied;2023-09-07 21:29:11;4
;T_3waiting;2023-09-07 21:29:11;4
;T_2ocupied;2023-09-07 21:29:15;0
;T_2waiting;2023-09-07 21:29:15;0
;T_2done;2023-09-07 21:29:20;0
;T_3done;2023-09-07 21:29:20;0
;T_4Busy;2023-09-07 21:30:04;1
;T_4Done;2023-09-07 21:30:09;1
;T_5Busy;2023-09-07 21:30:18;2
;T_5Done;2023-09-07 21:30:23;2
;T_0ocupied;2023-09-07 21:30:29;0
;T_0waiting;2023-09-07 21:30:29;0
;T_1ocupied;2023-09-07 21:30:42;2
;T_1waiting;2023-09-07 21:30:42;2
;T_0done;2023-09-07 21:30:47;0
;T_1done;2023-09-07 21:30:47;0
