mision;activity;time;robot
;T_0Busy;2023-09-07 21:27:40;0
;T_0Done;2023-09-07 21:27:45;0
;T_1Busy;2023-09-07 21:28:16;0
;T_1Done;2023-09-07 21:28:21;0
;T_2ocupied;2023-09-07 21:28:26;1
;T_2waiting;2023-09-07 21:28:26;1
;T_3ocupied;2023-09-07 21:28:34;4
;T_3waiting;2023-09-07 21:28:34;4
;T_2done;2023-09-07 21:28:39;0
;T_3done;2023-09-07 21:28:39;0
;T_4Busy;2023-09-07 21:29:29;2
;T_4Done;2023-09-07 21:29:34;2
;T_5Busy;2023-09-07 21:30:34;5
;T_5Done;2023-09-07 21:30:39;5
;T_1ocupied;2023-09-07 21:30:48;4
;T_1waiting;2023-09-07 21:30:48;4
;T_0ocupied;2023-09-07 21:30:54;5
;T_0waiting;2023-09-07 21:30:54;5
;T_0done;2023-09-07 21:30:59;0
;T_1done;2023-09-07 21:30:59;0
