mision;activity;time;robot
;T_0Busy;2023-09-07 22:10:48;2
;T_0Done;2023-09-07 22:10:53;2
;T_1Busy;2023-09-07 22:11:09;4
;T_1Done;2023-09-07 22:11:14;4
;T_2ocupied;2023-09-07 22:11:21;5
;T_2waiting;2023-09-07 22:11:21;5
;T_3ocupied;2023-09-07 22:12:08;3
;T_3waiting;2023-09-07 22:12:08;3
;T_2done;2023-09-07 22:12:13;0
;T_3done;2023-09-07 22:12:13;0
;T_4Busy;2023-09-07 22:12:37;2
;T_4Done;2023-09-07 22:12:42;2
;T_5Busy;2023-09-07 22:13:07;4
;T_5Done;2023-09-07 22:13:12;4
;T_0ocupied;2023-09-07 22:13:21;5
;T_0waiting;2023-09-07 22:13:21;5
;T_1ocupied;2023-09-07 22:13:22;3
;T_1waiting;2023-09-07 22:13:22;3
;T_0done;2023-09-07 22:13:27;0
;T_1done;2023-09-07 22:13:27;0
