mision, action, DateTime, org:resource
, T_0_Busy, 2023-09-08 09:38:05, 4
, T_0_Done, 2023-09-08 09:38:10, 4
, T_1_Busy, 2023-09-08 09:38:14, 3
, T_1_Done, 2023-09-08 09:38:19, 3
, T_2_ocupied, 2023-09-08 09:38:36, 3
, T_2_waiting, 2023-09-08 09:38:36, 3
, T_3_ocupied, 2023-09-08 09:38:40, 4
, T_3_waiting, 2023-09-08 09:38:40, 4
, T_2_done, 2023-09-08 09:38:45, 0
, T_3_done, 2023-09-08 09:38:45, 0
, T_4_Busy, 2023-09-08 09:38:56, 0
, T_4_Done, 2023-09-08 09:39:01, 0
, T_5_Busy, 2023-09-08 09:39:25, 0
, T_5_Done, 2023-09-08 09:39:30, 0
, T_1_ocupied, 2023-09-08 09:39:39, 3
, T_1_waiting, 2023-09-08 09:39:39, 3
, T_0_ocupied, 2023-09-08 09:39:46, 0
, T_0_waiting, 2023-09-08 09:39:46, 0
, T_0_done, 2023-09-08 09:39:50, 0
, T_1_done, 2023-09-08 09:39:50, 0
