mision;activity;time;robot
;T_0Busy;2023-09-07 21:27:17;2
;T_0Done;2023-09-07 21:27:21;2
;T_1Busy;2023-09-07 21:27:30;4
;T_1Done;2023-09-07 21:27:35;4
;T_3ocupied;2023-09-07 21:27:50;5
;T_3waiting;2023-09-07 21:27:50;5
;T_2ocupied;2023-09-07 21:28:36;4
;T_2waiting;2023-09-07 21:28:36;4
;T_2done;2023-09-07 21:28:41;0
;T_3done;2023-09-07 21:28:41;0
;T_4Busy;2023-09-07 21:28:46;0
;T_4Done;2023-09-07 21:28:51;0
;T_5Busy;2023-09-07 21:29:26;0
;T_5Done;2023-09-07 21:29:31;0
;T_1ocupied;2023-09-07 21:29:42;2
;T_1waiting;2023-09-07 21:29:42;2
;T_0ocupied;2023-09-07 21:29:51;0
;T_0waiting;2023-09-07 21:29:51;0
;T_0done;2023-09-07 21:29:56;0
;T_1done;2023-09-07 21:29:56;0
