mision;activity;time;robot
;T_0Busy;2023-09-07 21:27:37;2
;T_0Done;2023-09-07 21:27:42;2
;T_1Busy;2023-09-07 21:28:02;0
;T_1Done;2023-09-07 21:28:07;0
;T_2ocupied;2023-09-07 21:28:19;4
;T_2waiting;2023-09-07 21:28:19;4
;T_3ocupied;2023-09-07 21:29:02;3
;T_3waiting;2023-09-07 21:29:02;3
;T_2done;2023-09-07 21:29:07;0
;T_3done;2023-09-07 21:29:07;0
;T_4Busy;2023-09-07 21:29:40;4
;T_4Done;2023-09-07 21:29:45;4
;T_5Busy;2023-09-07 21:29:52;3
;T_5Done;2023-09-07 21:29:57;3
;T_1ocupied;2023-09-07 21:30:09;0
;T_1waiting;2023-09-07 21:30:09;0
;T_0ocupied;2023-09-07 21:30:13;3
;T_0waiting;2023-09-07 21:30:13;3
;T_0done;2023-09-07 21:30:18;0
;T_1done;2023-09-07 21:30:18;0
