mision;activity;time;robot
;T_0Busy;2023-09-07 22:11:59;3
;T_0Done;2023-09-07 22:12:04;3
;T_1Busy;2023-09-07 22:12:44;5
;T_1Done;2023-09-07 22:12:49;5
;T_2ocupied;2023-09-07 22:12:56;3
;T_2waiting;2023-09-07 22:12:56;3
;T_3ocupied;2023-09-07 22:13:29;1
;T_3waiting;2023-09-07 22:13:29;1
;T_2done;2023-09-07 22:13:34;0
;T_3done;2023-09-07 22:13:34;0
;T_4Busy;2023-09-07 22:14:02;1
;T_4Done;2023-09-07 22:14:07;1
;T_5Busy;2023-09-07 22:14:38;2
;T_5Done;2023-09-07 22:14:43;2
;T_1ocupied;2023-09-07 22:15:01;5
;T_1waiting;2023-09-07 22:15:01;5
;T_0ocupied;2023-09-07 22:15:22;1
;T_0waiting;2023-09-07 22:15:22;1
;T_0done;2023-09-07 22:15:27;0
;T_1done;2023-09-07 22:15:27;0
