mision;activity;time;robot
;T_0Busy;2023-09-07 22:11:11;3
;T_0Done;2023-09-07 22:11:16;3
;T_1Busy;2023-09-07 22:11:27;3
;T_1Done;2023-09-07 22:11:31;3
;T_3ocupied;2023-09-07 22:11:42;1
;T_3waiting;2023-09-07 22:11:42;1
;T_2ocupied;2023-09-07 22:11:45;2
;T_2waiting;2023-09-07 22:11:45;2
;T_2done;2023-09-07 22:11:50;0
;T_3done;2023-09-07 22:11:50;0
;T_4Busy;2023-09-07 22:13:37;3
;T_4Done;2023-09-07 22:13:41;3
;T_5Busy;2023-09-07 22:13:51;1
;T_5Done;2023-09-07 22:13:55;1
;T_1ocupied;2023-09-07 22:14:13;1
;T_1waiting;2023-09-07 22:14:13;1
;T_0ocupied;2023-09-07 22:14:26;0
;T_0waiting;2023-09-07 22:14:26;0
;T_0done;2023-09-07 22:14:31;0
;T_1done;2023-09-07 22:14:31;0
