mision, action, DateTime, org:resource
, T_0_Busy, 2023-09-08 09:43:43, 4
, T_0_Done, 2023-09-08 09:43:48, 4
, T_1_Busy, 2023-09-08 09:43:52, 3
, T_1_Done, 2023-09-08 09:43:57, 3
, T_2_ocupied, 2023-09-08 09:44:14, 3
, T_2_waiting, 2023-09-08 09:44:14, 3
, T_3_ocupied, 2023-09-08 09:44:18, 4
, T_3_waiting, 2023-09-08 09:44:18, 4
, T_2_done, 2023-09-08 09:44:23, 0
, T_3_done, 2023-09-08 09:44:23, 0
, T_4_Busy, 2023-09-08 09:44:34, 0
, T_4_Done, 2023-09-08 09:44:39, 0
, T_5_Busy, 2023-09-08 09:45:03, 0
, T_5_Done, 2023-09-08 09:45:08, 0
, T_1_ocupied, 2023-09-08 09:45:17, 3
, T_1_waiting, 2023-09-08 09:45:17, 3
, T_0_ocupied, 2023-09-08 09:45:24, 0
, T_0_waiting, 2023-09-08 09:45:24, 0
, T_0_done, 2023-09-08 09:45:28, 0
, T_1_done, 2023-09-08 09:45:28, 0
