mision;activity;time;robot
;T_0Busy;2023-09-07 22:11:16;4
;T_0Done;2023-09-07 22:11:21;4
;T_1Busy;2023-09-07 22:11:26;2
;T_1Done;2023-09-07 22:11:30;2
;T_2ocupied;2023-09-07 22:11:37;5
;T_2waiting;2023-09-07 22:11:37;5
;T_3ocupied;2023-09-07 22:11:42;3
;T_3waiting;2023-09-07 22:11:42;3
;T_2done;2023-09-07 22:11:47;0
;T_3done;2023-09-07 22:11:47;0
;T_4Busy;2023-09-07 22:12:24;0
;T_4Done;2023-09-07 22:12:29;0
;T_5Busy;2023-09-07 22:12:51;0
;T_5Done;2023-09-07 22:12:56;0
;T_1ocupied;2023-09-07 22:13:10;0
;T_1waiting;2023-09-07 22:13:10;0
;T_0ocupied;2023-09-07 22:13:12;2
;T_0waiting;2023-09-07 22:13:12;2
;T_0done;2023-09-07 22:13:17;0
;T_1done;2023-09-07 22:13:17;0
