mision, action, DateTime, org:resource
, T_0Busy, 2023-09-08 09:36:55, 4
, T_0Done, 2023-09-08 09:37:00, 4
, T_1Busy, 2023-09-08 09:37:04, 3
, T_1Done, 2023-09-08 09:37:09, 3
, T_2ocupied, 2023-09-08 09:37:26, 3
, T_2waiting, 2023-09-08 09:37:26, 3
, T_3ocupied, 2023-09-08 09:37:30, 4
, T_3waiting, 2023-09-08 09:37:30, 4
, T_2done, 2023-09-08 09:37:35, 0
, T_3done, 2023-09-08 09:37:35, 0
, T_4Busy, 2023-09-08 09:37:46, 0
, T_4Done, 2023-09-08 09:37:51, 0
, T_5Busy, 2023-09-08 09:38:15, 0
, T_5Done, 2023-09-08 09:38:20, 0
, T_1ocupied, 2023-09-08 09:38:29, 3
, T_1waiting, 2023-09-08 09:38:29, 3
, T_0ocupied, 2023-09-08 09:38:36, 0
, T_0waiting, 2023-09-08 09:38:36, 0
, T_0done, 2023-09-08 09:38:40, 0
, T_1done, 2023-09-08 09:38:40, 0
