, T_0_Busy, 2023-09-08 10:28:18, 4
, T_0_Done, 2023-09-08 10:28:23, 4
, T_1_Busy, 2023-09-08 10:28:27, 3
, T_1_Done, 2023-09-08 10:28:32, 3
, T_2_ocupied, 2023-09-08 10:28:49, 3
, T_2_waiting, 2023-09-08 10:28:49, 3
, T_3_ocupied, 2023-09-08 10:28:53, 4
, T_3_waiting, 2023-09-08 10:28:53, 4
, T_2_done, 2023-09-08 10:28:58, 0
, T_3_done, 2023-09-08 10:28:58, 0
, T_4_Busy, 2023-09-08 10:29:09, 0
, T_4_Done, 2023-09-08 10:29:14, 0
, T_5_Busy, 2023-09-08 10:29:38, 0
, T_5_Done, 2023-09-08 10:29:43, 0
, T_1_ocupied, 2023-09-08 10:29:52, 3
, T_1_waiting, 2023-09-08 10:29:52, 3
, T_0_ocupied, 2023-09-08 10:29:59, 0
, T_0_waiting, 2023-09-08 10:29:59, 0
, T_0_done, 2023-09-08 10:30:03, 0
, T_1_done, 2023-09-08 10:30:03, 0
