mision, action, DateTime, org:resource
, T_0Busy, 2023-09-08 09:37:25, 4
, T_0Done, 2023-09-08 09:37:30, 4
, T_1Busy, 2023-09-08 09:37:34, 3
, T_1Done, 2023-09-08 09:37:39, 3
, T_2ocupied, 2023-09-08 09:37:56, 3
, T_2waiting, 2023-09-08 09:37:56, 3
, T_3ocupied, 2023-09-08 09:38:00, 4
, T_3waiting, 2023-09-08 09:38:00, 4
, T_2done, 2023-09-08 09:38:05, 0
, T_3done, 2023-09-08 09:38:05, 0
, T_4Busy, 2023-09-08 09:38:16, 0
, T_4Done, 2023-09-08 09:38:21, 0
, T_5Busy, 2023-09-08 09:38:45, 0
, T_5Done, 2023-09-08 09:38:50, 0
, T_1ocupied, 2023-09-08 09:38:59, 3
, T_1waiting, 2023-09-08 09:38:59, 3
, T_0ocupied, 2023-09-08 09:39:06, 0
, T_0waiting, 2023-09-08 09:39:06, 0
, T_0done, 2023-09-08 09:39:10, 0
, T_1done, 2023-09-08 09:39:10, 0
