mision, action, DateTime, org:resource
, T_0_Busy, 2023-09-08 09:51:47, 4
, T_0_Done, 2023-09-08 09:51:52, 4
, T_1_Busy, 2023-09-08 09:51:56, 3
, T_1_Done, 2023-09-08 09:52:01, 3
, T_2_ocupied, 2023-09-08 09:52:18, 3
, T_2_waiting, 2023-09-08 09:52:18, 3
, T_3_ocupied, 2023-09-08 09:52:22, 4
, T_3_waiting, 2023-09-08 09:52:22, 4
, T_2_done, 2023-09-08 09:52:27, 0
, T_3_done, 2023-09-08 09:52:27, 0
, T_4_Busy, 2023-09-08 09:52:38, 0
, T_4_Done, 2023-09-08 09:52:43, 0
, T_5_Busy, 2023-09-08 09:53:07, 0
, T_5_Done, 2023-09-08 09:53:12, 0
, T_1_ocupied, 2023-09-08 09:53:21, 3
, T_1_waiting, 2023-09-08 09:53:21, 3
, T_0_ocupied, 2023-09-08 09:53:28, 0
, T_0_waiting, 2023-09-08 09:53:28, 0
, T_0_done, 2023-09-08 09:53:32, 0
, T_1_done, 2023-09-08 09:53:32, 0
