mision;activity;time;robot
;T_0Busy;2023-09-07 21:27:18;0
;T_0Done;2023-09-07 21:27:23;0
;T_1Busy;2023-09-07 21:27:27;2
;T_1Done;2023-09-07 21:27:32;2
;T_2ocupied;2023-09-07 21:27:40;5
;T_2waiting;2023-09-07 21:27:40;5
;T_3ocupied;2023-09-07 21:27:57;3
;T_3waiting;2023-09-07 21:27:57;3
;T_2done;2023-09-07 21:28:02;0
;T_3done;2023-09-07 21:28:02;0
;T_4Busy;2023-09-07 21:28:08;2
;T_4Done;2023-09-07 21:28:13;2
;T_5Busy;2023-09-07 21:28:34;3
;T_5Done;2023-09-07 21:28:38;3
;T_1ocupied;2023-09-07 21:28:52;0
;T_1waiting;2023-09-07 21:28:52;0
;T_0ocupied;2023-09-07 21:28:59;4
;T_0waiting;2023-09-07 21:28:59;4
;T_0done;2023-09-07 21:29:04;0
;T_1done;2023-09-07 21:29:04;0
