mision;activity;time;robot
;T_0Busy;2023-09-07 22:11:20;0
;T_0Done;2023-09-07 22:11:25;0
;T_1Busy;2023-09-07 22:11:27;2
;T_1Done;2023-09-07 22:11:32;2
;T_2ocupied;2023-09-07 22:11:39;4
;T_2waiting;2023-09-07 22:11:39;4
;T_3ocupied;2023-09-07 22:11:39;3
;T_3waiting;2023-09-07 22:11:39;3
;T_2done;2023-09-07 22:11:44;0
;T_3done;2023-09-07 22:11:44;0
;T_4Busy;2023-09-07 22:11:49;1
;T_4Done;2023-09-07 22:11:54;1
;T_5Busy;2023-09-07 22:11:59;4
;T_5Done;2023-09-07 22:12:03;4
;T_1ocupied;2023-09-07 22:12:08;1
;T_1waiting;2023-09-07 22:12:08;1
;T_0ocupied;2023-09-07 22:12:23;5
;T_0waiting;2023-09-07 22:12:23;5
;T_0done;2023-09-07 22:12:28;0
;T_1done;2023-09-07 22:12:28;0
