, T_0_Busy, 2023-09-08 10:29:03, 4
, T_0_Done, 2023-09-08 10:29:08, 4
, T_1_Busy, 2023-09-08 10:29:12, 3
, T_1_Done, 2023-09-08 10:29:17, 3
, T_2_ocupied, 2023-09-08 10:29:34, 3
, T_2_waiting, 2023-09-08 10:29:34, 3
, T_3_ocupied, 2023-09-08 10:29:38, 4
, T_3_waiting, 2023-09-08 10:29:38, 4
, T_2_done, 2023-09-08 10:29:43, 0
, T_3_done, 2023-09-08 10:29:43, 0
, T_4_Busy, 2023-09-08 10:29:54, 0
, T_4_Done, 2023-09-08 10:29:59, 0
, T_5_Busy, 2023-09-08 10:30:23, 0
, T_5_Done, 2023-09-08 10:30:28, 0
, T_1_ocupied, 2023-09-08 10:30:37, 3
, T_1_waiting, 2023-09-08 10:30:37, 3
, T_0_ocupied, 2023-09-08 10:30:44, 0
, T_0_waiting, 2023-09-08 10:30:44, 0
, T_0_done, 2023-09-08 10:30:48, 0
, T_1_done, 2023-09-08 10:30:48, 0
