mision;activity;time;robot
;T_0Busy;2023-09-07 21:28:03;1
;T_0Done;2023-09-07 21:28:08;1
;T_1Busy;2023-09-07 21:28:13;4
;T_1Done;2023-09-07 21:28:18;4
;T_2ocupied;2023-09-07 21:28:36;3
;T_2waiting;2023-09-07 21:28:36;3
;T_3ocupied;2023-09-07 21:28:42;2
;T_3waiting;2023-09-07 21:28:42;2
;T_2done;2023-09-07 21:28:47;0
;T_3done;2023-09-07 21:28:47;0
;T_4Busy;2023-09-07 21:29:31;0
;T_4Done;2023-09-07 21:29:35;0
;T_5Busy;2023-09-07 21:29:45;5
;T_5Done;2023-09-07 21:29:50;5
;T_1ocupied;2023-09-07 21:30:02;2
;T_1waiting;2023-09-07 21:30:02;2
;T_0ocupied;2023-09-07 21:30:16;1
;T_0waiting;2023-09-07 21:30:16;1
;T_0done;2023-09-07 21:30:21;0
;T_1done;2023-09-07 21:30:21;0
