mision, action, DateTime, org:resource, randomSeed 
,T_5_Busy,2023-09-13 09:08:18,4,91
,T_5_Done,2023-09-13 09:08:23,4,91
,T_2_Busy,2023-09-13 09:08:37,2,91
,T_2_Done,2023-09-13 09:08:42,2,91
,T_2_ocupied,2023-09-13 09:08:42,2,91
,T_2_waiting,2023-09-13 09:08:42,2,91
,T_1_ocupied,2023-09-13 09:09:11,5,91
,T_1_waiting,2023-09-13 09:09:11,5,91
,T_6_ocupied,2023-09-13 09:09:32,4,91
,T_6_waiting,2023-09-13 09:09:32,4,91
,T_1_busy,2023-09-13 09:09:32,5,91
,T_2_busy,2023-09-13 09:09:32,2,91
,T_6_busy,2023-09-13 09:09:32,4,91
,T_1_done,2023-09-13 09:09:37,5,91
,T_2_done,2023-09-13 09:09:37,2,91
,T_6_done,2023-09-13 09:09:37,4,91
