mision;activity;time;robot
;Task0;1900-01-00 00:00:00;3
;Task1;1900-01-00 00:00:00;5
;Task6;1900-01-00 00:00:00;2
;Task2;1900-01-00 00:00:00;4
;Task3;1900-01-00 00:00:00;2
;Task4;1900-01-00 00:00:00;3
;Task5;1900-01-00 00:00:00;2
;Task1;1900-01-00 00:00:00;2
;Task0;1900-01-00 00:00:00;5
