case_id;activity;time
;TA_enter;196
;TA_task1;245
;TB_enter;274
;TB_task2;323
;TC_enter;402
;TC_task3;451
;TD_enter;1301
;TD_task4;1350
;TE_enter;1423
;TE_task5;1472
;TF_enter;1516
;TF_task6;1565
;TG_enter;1940
;TG_task7;1989
;TH_enter;2414
;TH_task8;2463
;T1-TH_task9;2479
