mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-14 00:47:46,3,6
,T_0_Done,2023-09-14 00:47:51,3,6
,T_2_Busy,2023-09-14 00:47:59,4,6
,T_2_Done,2023-09-14 00:48:04,4,6
,T_2_ocupied,2023-09-14 00:48:04,4,6
,T_2_waiting,2023-09-14 00:48:04,4,6
,T_1_ocupied,2023-09-14 00:48:16,3,6
,T_1_waiting,2023-09-14 00:48:16,3,6
,T_6_ocupied,2023-09-14 00:48:58,2,6
,T_6_waiting,2023-09-14 00:48:58,2,6
,T_1_Busy,2023-09-14 00:48:58,3,6
,T_2_Busy,2023-09-14 00:48:58,4,6
,T_6_Busy,2023-09-14 00:48:58,2,6
,T_1_done,2023-09-14 00:49:03,3,6
,T_2_done,2023-09-14 00:49:03,4,6
,T_6_done,2023-09-14 00:49:03,2,6
