mision, action, DateTime, org:resource, randomSeed 
,T_19_ocupied,2023-09-19 22:07:22,3,16
,T_19_waiting,2023-09-19 22:07:22,3,16
,T_16_ocupied,2023-09-19 22:07:23,8,16
,T_16_waiting,2023-09-19 22:07:23,8,16
,T_3_ocupied,2023-09-19 22:07:27,28,16
,T_3_waiting,2023-09-19 22:07:27,28,16
,T_27_ocupied,2023-09-19 22:07:35,15,16
,T_27_waiting,2023-09-19 22:07:35,15,16
,T_2_ocupied,2023-09-19 22:07:38,18,16
,T_2_waiting,2023-09-19 22:07:38,18,16
,T_11_ocupied,2023-09-19 22:07:38,5,16
,T_11_waiting,2023-09-19 22:07:38,5,16
,T_0_ocupied,2023-09-19 22:07:39,26,16
,T_0_waiting,2023-09-19 22:07:39,26,16
,T_9_ocupied,2023-09-19 22:07:40,0,16
,T_9_waiting,2023-09-19 22:07:40,0,16
,T_34_ocupied,2023-09-19 22:07:47,14,16
,T_34_waiting,2023-09-19 22:07:47,14,16
,T_46_ocupied,2023-09-19 22:07:47,12,16
,T_46_waiting,2023-09-19 22:07:47,12,16
,T_29_ocupied,2023-09-19 22:07:58,27,16
,T_29_waiting,2023-09-19 22:07:58,27,16
,T_44_ocupied,2023-09-19 22:08:13,24,16
,T_44_waiting,2023-09-19 22:08:13,24,16
,T_31_ocupied,2023-09-19 22:08:23,1,16
,T_31_waiting,2023-09-19 22:08:23,1,16
,T_6_ocupied,2023-09-19 22:09:00,13,16
,T_6_waiting,2023-09-19 22:09:00,13,16
,T_35_ocupied,2023-09-19 22:09:03,21,16
,T_35_waiting,2023-09-19 22:09:03,21,16
,T_50_ocupied,2023-09-19 22:09:19,23,16
,T_50_waiting,2023-09-19 22:09:19,23,16
,T_57_ocupied,2023-09-19 22:09:30,6,16
,T_57_waiting,2023-09-19 22:09:30,6,16
,T_41_ocupied,2023-09-19 22:12:54,16,16
,T_41_waiting,2023-09-19 22:12:54,16,16
,T_18_ocupied,2023-09-19 22:16:27,10,16
,T_18_waiting,2023-09-19 22:16:27,10,16
,T_18_Busy,2023-09-19 22:16:27,10,16
