mision, action, DateTime, org:resource, randomSeed 
,T_21_Busy,2023-09-15 22:48:31,10,32
,T_21_Done,2023-09-15 22:48:36,10,32
,T_22_Busy,2023-09-15 22:49:19,1,32
,T_22_Done,2023-09-15 22:49:24,1,32
,T_23_Busy,2023-09-15 22:50:03,9,32
,T_23_Done,2023-09-15 22:50:08,9,32
,T_26_ocupied,2023-09-15 22:50:29,14,32
,T_26_waiting,2023-09-15 22:50:29,14,32
,T_31_ocupied,2023-09-15 22:51:32,16,32
,T_31_waiting,2023-09-15 22:51:32,16,32
,T_25_ocupied,2023-09-15 22:52:03,0,32
,T_25_waiting,2023-09-15 22:52:03,0,32
,time_out,2023-09-15 23:04:19,user,32
,time_out,2023-09-15 23:04:19,user,32
,time_out,2023-09-15 23:04:20,user,32
,time_out,2023-09-15 23:04:20,user,32
