mision;activity;time;robot
;TB_enter;2023-08-21 22:57:25;2
;TB_task2;2023-08-21 22:57:30;2
;TA_enter;2023-08-21 22:57:50;4
;TA_task1;2023-08-21 22:57:55;4
;TA_task3;2023-08-21 22:57:57;1
;TB_task3;2023-08-21 22:57:57;1
;TC_enter;2023-08-21 22:58:03;5
;TC_task1;2023-08-21 22:58:08;5
;TD_enter;2023-08-21 22:59:14;3
;TD_task2;2023-08-21 22:59:19;3
;TC_task3;2023-08-21 22:59:21;0
;TD_task3;2023-08-21 22:59:21;0
;TF_enter;2023-08-21 22:59:38;4
;TF_task2;2023-08-21 22:59:42;4
;TE_enter;2023-08-21 23:00:10;0
;TE_task1;2023-08-21 23:00:15;0
;TE_task3;2023-08-21 23:00:17;3
;TF_task3;2023-08-21 23:00:17;3
;TG_enter;2023-08-21 23:00:32;3
;TG_task1;2023-08-21 23:00:37;3
;TH_enter;2023-08-21 23:01:30;1
;TH_task2;2023-08-21 23:01:35;1
;TG_task3;2023-08-21 23:01:37;4
;TH_task3;2023-08-21 23:01:37;4
;TG_task4;2023-08-21 23:01:37;1
;TH_task4;2023-08-21 23:01:37;1
