case_id;activity;time;robot
;TH_enter;2023-08-21 10:41:40;3
;TH_task2;2023-08-21 10:41:44;3
;TB_enter;2023-08-21 10:41:53;2
;TA_enter;2023-08-21 10:41:56;0
;TB_task2;2023-08-21 10:41:57;2
;TA_task1;2023-08-21 10:42:01;0
;TA_task3;2023-08-21 10:42:02;3
;TB_task3;2023-08-21 10:42:02;3
;TC_enter;2023-08-21 10:42:13;4
;TC_task1;2023-08-21 10:42:18;4
;TD_enter;2023-08-21 10:42:29;1
;TD_task2;2023-08-21 10:42:34;1
;TC_task3;2023-08-21 10:42:35;4
;TD_task3;2023-08-21 10:42:35;4
;TF_enter;2023-08-21 10:42:50;2
;TF_task2;2023-08-21 10:42:55;2
;TE_enter;2023-08-21 10:45:04;0
;TE_task1;2023-08-21 10:45:08;0
;TE_task3;2023-08-21 10:45:10;3
;TF_task3;2023-08-21 10:45:10;3
;TG_enter;2023-08-21 10:45:37;1
;TG_task1;2023-08-21 10:45:42;1
;TG_task3;2023-08-21 10:45:43;4
;TH_task3;2023-08-21 10:45:43;4
;TG_task4;2023-08-21 10:45:44;1
;TH_task4;2023-08-21 10:45:44;1
