mision;activity;time;robot
;TB_enter;2023-08-25 14:14:12.200.000000;5
;TB_task2;2023-08-25 14:14:17.100.000000;5
;TA_enter;2023-08-25 14:14:22.800.000000;1
;TA_task1;2023-08-25 14:14:27.700.000000;1
;TA_task3;2023-08-25 14:14:29.300.000000;4
;TB_task3;2023-08-25 14:14:29.300.000000;4
;TC_enter;2023-08-25 14:14:41.900.000000;2
;TC_task1;2023-08-25 14:14:46.800.000000;2
;TD_enter;2023-08-25 14:14:49.600.000000;3
;TD_task2;2023-08-25 14:14:54.500.000000;3
;TC_task3;2023-08-25 14:14:56.200.000000;0
;TD_task3;2023-08-25 14:14:56.200.000000;0
;TF_enter;2023-08-25 14:15:12.0.000000;1
;TF_task2;2023-08-25 14:15:16.900.000000;1
;TE_enter;2023-08-25 14:16:40.200.000000;0
;TE_task1;2023-08-25 14:16:45.100.000000;0
;TE_task3;2023-08-25 14:16:46.700.000000;3
;TF_task3;2023-08-25 14:16:46.700.000000;3
;TG_enter;2023-08-25 14:16:51.300.000000;5
;TG_task1;2023-08-25 14:16:56.200.000000;5
;TH_enter;2023-08-25 14:17:02.100.000000;3
;TH_task2;2023-08-25 14:17:07.0.000000;3
;TG_task3;2023-08-25 14:17:08.700.000000;0
;TH_task3;2023-08-25 14:17:08.700.000000;0
;TG_task4;2023-08-25 14:17:08.800.000000;3
;TH_task4;2023-08-25 14:17:08.800.000000;3
