case_id;activity;time;robot
;TB_enter;2023-08-21 10:41:51;0
;TA_enter;2023-08-21 10:41:52;2
;TB_task2;2023-08-21 10:41:56;0
;TA_task1;2023-08-21 10:41:57;2
;TA_task3;2023-08-21 10:41:59;5
;TB_task3;2023-08-21 10:41:59;5
;TD_enter;2023-08-21 10:42:20;1
;TD_task2;2023-08-21 10:42:25;1
;TC_enter;2023-08-21 10:44:24;4
;TC_task1;2023-08-21 10:44:29;4
;TC_task3;2023-08-21 10:44:31;1
;TD_task3;2023-08-21 10:44:31;1
;TF_enter;2023-08-21 10:44:48;2
;TF_task2;2023-08-21 10:44:53;2
;TE_enter;2023-08-21 10:45:01;5
;TE_task1;2023-08-21 10:45:06;5
;TE_task3;2023-08-21 10:45:08;2
;TF_task3;2023-08-21 10:45:08;2
;TH_enter;2023-08-21 10:45:24;3
;TH_task2;2023-08-21 10:45:29;3
;TG_enter;2023-08-21 10:45:32;1
;TG_task1;2023-08-21 10:45:37;1
;TG_task3;2023-08-21 10:45:39;4
;TH_task3;2023-08-21 10:45:39;4
;TG_task4;2023-08-21 10:45:39;1
;TH_task4;2023-08-21 10:45:39;1
