mision;activity;time;robot
;TB_enter;2023-08-21 22:57:28;0
;TA_enter;2023-08-21 22:57:29;2
;TB_task2;2023-08-21 22:57:33;0
;TA_task1;2023-08-21 22:57:34;2
;TA_task3;2023-08-21 22:57:36;5
;TB_task3;2023-08-21 22:57:36;5
;TD_enter;2023-08-21 22:57:57;1
;TD_task2;2023-08-21 22:58:02;1
;TC_enter;2023-08-21 23:00:01;4
;TC_task1;2023-08-21 23:00:06;4
;TC_task3;2023-08-21 23:00:08;1
;TD_task3;2023-08-21 23:00:08;1
;TF_enter;2023-08-21 23:00:25;2
;TF_task2;2023-08-21 23:00:30;2
;TE_enter;2023-08-21 23:00:38;5
;TE_task1;2023-08-21 23:00:43;5
;TE_task3;2023-08-21 23:00:45;2
;TF_task3;2023-08-21 23:00:45;2
;TH_enter;2023-08-21 23:01:01;3
;TH_task2;2023-08-21 23:01:06;3
;TG_enter;2023-08-21 23:01:09;1
;TG_task1;2023-08-21 23:01:14;1
;TG_task3;2023-08-21 23:01:16;4
;TH_task3;2023-08-21 23:01:16;4
;TG_task4;2023-08-21 23:01:16;1
;TH_task4;2023-08-21 23:01:16;1
