mision;activity;time;robot
;TB_enter;2023-08-25 14:13:32.200.000000;5
;TB_task2;2023-08-25 14:13:37.100.000000;5
;TA_enter;2023-08-25 14:13:42.800.000000;1
;TA_task1;2023-08-25 14:13:47.700.000000;1
;TA_task3;2023-08-25 14:13:49.300.000000;4
;TB_task3;2023-08-25 14:13:49.300.000000;4
;TC_enter;2023-08-25 14:14:01.900.000000;2
;TC_task1;2023-08-25 14:14:06.800.000000;2
;TD_enter;2023-08-25 14:14:09.600.000000;3
;TD_task2;2023-08-25 14:14:14.500.000000;3
;TC_task3;2023-08-25 14:14:16.200.000000;0
;TD_task3;2023-08-25 14:14:16.200.000000;0
;TF_enter;2023-08-25 14:14:32.0.000000;1
;TF_task2;2023-08-25 14:14:36.900.000000;1
;TE_enter;2023-08-25 14:16:00.200.000000;0
;TE_task1;2023-08-25 14:16:05.100.000000;0
;TE_task3;2023-08-25 14:16:06.700.000000;3
;TF_task3;2023-08-25 14:16:06.700.000000;3
;TG_enter;2023-08-25 14:16:11.300.000000;5
;TG_task1;2023-08-25 14:16:16.200.000000;5
;TH_enter;2023-08-25 14:16:22.100.000000;3
;TH_task2;2023-08-25 14:16:27.0.000000;3
;TG_task3;2023-08-25 14:16:28.700.000000;0
;TH_task3;2023-08-25 14:16:28.700.000000;0
;TG_task4;2023-08-25 14:16:28.800.000000;3
;TH_task4;2023-08-25 14:16:28.800.000000;3
