mision;activity;time;robot
;TB_enter;2023-08-25 14:13:46.200.000000;5
;TB_task2;2023-08-25 14:13:51.100.000000;5
;TA_enter;2023-08-25 14:13:56.800.000000;1
;TA_task1;2023-08-25 14:14:01.700.000000;1
;TA_task3;2023-08-25 14:14:03.300.000000;4
;TB_task3;2023-08-25 14:14:03.300.000000;4
;TC_enter;2023-08-25 14:14:15.900.000000;2
;TC_task1;2023-08-25 14:14:20.800.000000;2
;TD_enter;2023-08-25 14:14:23.600.000000;3
;TD_task2;2023-08-25 14:14:28.500.000000;3
;TC_task3;2023-08-25 14:14:30.200.000000;0
;TD_task3;2023-08-25 14:14:30.200.000000;0
;TF_enter;2023-08-25 14:14:46.0.000000;1
;TF_task2;2023-08-25 14:14:50.900.000000;1
;TE_enter;2023-08-25 14:16:14.200.000000;0
;TE_task1;2023-08-25 14:16:19.100.000000;0
;TE_task3;2023-08-25 14:16:20.700.000000;3
;TF_task3;2023-08-25 14:16:20.700.000000;3
;TG_enter;2023-08-25 14:16:25.300.000000;5
;TG_task1;2023-08-25 14:16:30.200.000000;5
;TH_enter;2023-08-25 14:16:36.100.000000;3
;TH_task2;2023-08-25 14:16:41.0.000000;3
;TG_task3;2023-08-25 14:16:42.700.000000;0
;TH_task3;2023-08-25 14:16:42.700.000000;0
;TG_task4;2023-08-25 14:16:42.800.000000;3
;TH_task4;2023-08-25 14:16:42.800.000000;3
