case_id;activity;time;robot
;TB_enter;2023-08-21 10:41:47;0
;TB_task2;2023-08-21 10:41:52;0
;TA_enter;2023-08-21 10:42:01;3
;TA_task1;2023-08-21 10:42:06;3
;TA_task3;2023-08-21 10:42:08;0
;TB_task3;2023-08-21 10:42:08;0
;TC_enter;2023-08-21 10:42:28;5
;TC_task1;2023-08-21 10:42:33;5
;TD_enter;2023-08-21 10:42:37;4
;TD_task2;2023-08-21 10:42:42;4
;TC_task3;2023-08-21 10:42:43;1
;TD_task3;2023-08-21 10:42:43;1
;TF_enter;2023-08-21 10:42:59;0
;TF_task2;2023-08-21 10:43:04;0
;TE_enter;2023-08-21 10:43:14;2
;TE_task1;2023-08-21 10:43:19;2
;TE_task3;2023-08-21 10:43:20;5
;TF_task3;2023-08-21 10:43:20;5
;TH_enter;2023-08-21 10:43:34;1
;TG_enter;2023-08-21 10:43:34;5
;TH_task2;2023-08-21 10:43:39;1
;TG_task1;2023-08-21 10:43:39;5
;TG_task3;2023-08-21 10:43:41;2
;TH_task3;2023-08-21 10:43:41;2
;TG_task4;2023-08-21 10:43:41;5
;TH_task4;2023-08-21 10:43:41;5
