case_id;activity;time;robot
;TA_enter;2023-08-21 12:36:35;3
;TB_enter;2023-08-21 12:36:36;5
;TA_task1;2023-08-21 12:36:40;3
;TB_task2;2023-08-21 12:36:41;5
;TA_task3;2023-08-21 12:36:42;2
;TB_task3;2023-08-21 12:36:42;2
;TC_enter;2023-08-21 12:36:57;1
;TC_task1;2023-08-21 12:37:02;1
;TD_enter;2023-08-21 12:37:03;4
;TD_task2;2023-08-21 12:37:08;4
;TC_task3;2023-08-21 12:37:09;1
;TD_task3;2023-08-21 12:37:09;1
;TF_enter;2023-08-21 12:37:25;3
;TF_task2;2023-08-21 12:37:30;3
;TE_enter;2023-08-21 12:37:31;0
;TE_task1;2023-08-21 12:37:36;0
;TE_task3;2023-08-21 12:37:37;3
;TF_task3;2023-08-21 12:37:37;3
;TG_enter;2023-08-21 12:37:52;5
;TG_task1;2023-08-21 12:37:57;5
;TH_enter;2023-08-21 12:38:15;1
;TH_task2;2023-08-21 12:38:20;1
;TG_task3;2023-08-21 12:38:21;4
;TH_task3;2023-08-21 12:38:21;4
;TG_task4;2023-08-21 12:38:21;1
;TH_task4;2023-08-21 12:38:21;1
