case_id;activity;time;robot
;TB_enter;2023-08-21 12:36:18;2
;TB_task2;2023-08-21 12:36:23;2
;TA_enter;2023-08-21 12:36:36;0
;TA_task1;2023-08-21 12:36:41;0
;TA_task3;2023-08-21 12:36:42;3
;TB_task3;2023-08-21 12:36:42;3
;TD_enter;2023-08-21 12:36:55;3
;TD_task2;2023-08-21 12:37:00;3
;TC_enter;2023-08-21 12:37:05;1
;TC_task1;2023-08-21 12:37:10;1
;TC_task3;2023-08-21 12:37:11;4
;TD_task3;2023-08-21 12:37:11;4
;TE_enter;2023-08-21 12:37:25;5
;TE_task1;2023-08-21 12:37:30;5
;TF_enter;2023-08-21 12:37:32;2
;TF_task2;2023-08-21 12:37:37;2
;TE_task3;2023-08-21 12:37:39;5
;TF_task3;2023-08-21 12:37:39;5
;TH_enter;2023-08-21 12:37:48;4
;TH_task2;2023-08-21 12:37:53;4
;TG_enter;2023-08-21 12:37:54;3
;TG_task1;2023-08-21 12:37:59;3
;TG_task3;2023-08-21 12:38:01;0
;TH_task3;2023-08-21 12:38:01;0
;TG_task4;2023-08-21 12:38:01;3
;TH_task4;2023-08-21 12:38:01;3
