case_id;activity;time;robot
;TB_enter;2023-08-21 12:36:35;0
;TA_enter;2023-08-21 12:36:36;2
;TB_task2;2023-08-21 12:36:40;0
;TA_task1;2023-08-21 12:36:41;2
;TA_task3;2023-08-21 12:36:43;5
;TB_task3;2023-08-21 12:36:43;5
;TD_enter;2023-08-21 12:37:04;1
;TD_task2;2023-08-21 12:37:09;1
;TC_enter;2023-08-21 12:39:08;4
;TC_task1;2023-08-21 12:39:13;4
;TC_task3;2023-08-21 12:39:15;1
;TD_task3;2023-08-21 12:39:15;1
;TF_enter;2023-08-21 12:39:32;2
;TF_task2;2023-08-21 12:39:37;2
;TE_enter;2023-08-21 12:39:45;5
;TE_task1;2023-08-21 12:39:50;5
;TE_task3;2023-08-21 12:39:52;2
;TF_task3;2023-08-21 12:39:52;2
;TH_enter;2023-08-21 12:40:08;3
;TH_task2;2023-08-21 12:40:13;3
;TG_enter;2023-08-21 12:40:16;1
;TG_task1;2023-08-21 12:40:21;1
;TG_task3;2023-08-21 12:40:23;4
;TH_task3;2023-08-21 12:40:23;4
;TG_task4;2023-08-21 12:40:23;1
;TH_task4;2023-08-21 12:40:23;1
