mision;activity;time;robot
;TB_enter;2023-08-24 19:13:26;5
;TB_task2;2023-08-24 19:13:26;5
;TA_enter;2023-08-24 19:13:26;1
;TA_task1;2023-08-24 19:13:26;1
;TA_task3;2023-08-24 19:13:26;4
;TB_task3;2023-08-24 19:13:26;4
;TC_enter;2023-08-24 19:13:26;2
;TC_task1;2023-08-24 19:13:26;2
;TD_enter;2023-08-24 19:13:26;3
;TD_task2;2023-08-24 19:13:26;3
;TC_task3;2023-08-24 19:13:26;0
;TD_task3;2023-08-24 19:13:26;0
;TF_enter;2023-08-24 19:13:26;1
;TF_task2;2023-08-24 19:13:26;1
;TE_enter;2023-08-24 19:13:27;0
;TE_task1;2023-08-24 19:13:27;0
;TE_task3;2023-08-24 19:13:27;3
;TF_task3;2023-08-24 19:13:27;3
;TG_enter;2023-08-24 19:13:27;5
;TG_task1;2023-08-24 19:13:27;5
;TH_enter;2023-08-24 19:13:27;3
;TH_task2;2023-08-24 19:13:27;3
;TG_task3;2023-08-24 19:13:27;0
;TH_task3;2023-08-24 19:13:27;0
;TG_task4;2023-08-24 19:13:27;3
;TH_task4;2023-08-24 19:13:27;3
