case_id;activity;time;robot
;TB_enter;2023-08-21 12:36:16;1
;TB_task2;2023-08-21 12:36:21;1
;TA_enter;2023-08-21 12:36:21;4
;TA_task1;2023-08-21 12:36:26;4
;TA_task3;2023-08-21 12:36:28;1
;TB_task3;2023-08-21 12:36:28;1
;TD_enter;2023-08-21 12:36:46;0
;TD_task2;2023-08-21 12:36:51;0
;TC_enter;2023-08-21 12:37:02;3
;TC_task1;2023-08-21 12:37:07;3
;TC_task3;2023-08-21 12:37:09;0
;TD_task3;2023-08-21 12:37:09;0
;TE_enter;2023-08-21 12:37:24;1
;TE_task1;2023-08-21 12:37:29;1
;TF_enter;2023-08-21 12:37:35;5
;TF_task2;2023-08-21 12:37:40;5
;TE_task3;2023-08-21 12:37:42;2
;TF_task3;2023-08-21 12:37:42;2
;TG_enter;2023-08-21 12:38:00;2
;TG_task1;2023-08-21 12:38:05;2
;TH_enter;2023-08-21 12:38:13;4
;TH_task2;2023-08-21 12:38:18;4
;TG_task3;2023-08-21 12:38:20;1
;TH_task3;2023-08-21 12:38:20;1
;TG_task4;2023-08-21 12:38:20;4
;TH_task4;2023-08-21 12:38:20;4
