mision;activity;time;robot
;TB_enter;2023-08-25 14:12:11.200.000000;5
;TB_task2;2023-08-25 14:12:16.100.000000;5
;TA_enter;2023-08-25 14:12:21.800.000000;1
;TA_task1;2023-08-25 14:12:26.700.000000;1
;TA_task3;2023-08-25 14:12:28.300.000000;4
;TB_task3;2023-08-25 14:12:28.300.000000;4
;TC_enter;2023-08-25 14:12:40.900.000000;2
;TC_task1;2023-08-25 14:12:45.800.000000;2
;TD_enter;2023-08-25 14:12:48.600.000000;3
;TD_task2;2023-08-25 14:12:53.500.000000;3
;TC_task3;2023-08-25 14:12:55.200.000000;0
;TD_task3;2023-08-25 14:12:55.200.000000;0
;TF_enter;2023-08-25 14:13:11.0.000000;1
;TF_task2;2023-08-25 14:13:15.900.000000;1
;TE_enter;2023-08-25 14:14:39.200.000000;0
;TE_task1;2023-08-25 14:14:44.100.000000;0
;TE_task3;2023-08-25 14:14:45.700.000000;3
;TF_task3;2023-08-25 14:14:45.700.000000;3
;TG_enter;2023-08-25 14:14:50.300.000000;5
;TG_task1;2023-08-25 14:14:55.200.000000;5
;TH_enter;2023-08-25 14:15:01.100.000000;3
;TH_task2;2023-08-25 14:15:06.0.000000;3
;TG_task3;2023-08-25 14:15:07.700.000000;0
;TH_task3;2023-08-25 14:15:07.700.000000;0
;TG_task4;2023-08-25 14:15:07.800.000000;3
;TH_task4;2023-08-25 14:15:07.800.000000;3
